pai_et_municipios,promedio,comparacion_psyc,desviacion,comparacion_dsyc,desempeno_1,desempeno_2,desempeno_3,desempeno_4,aprendizaje_1,aprendizaje_2,aprendizaje_3,aprendizaje_4,aprendizaje_5,aprendizaje_6,Competencia
PRIVADOS DE CHOCO,52,Menor,11,Menor,17%,39%,44%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE CHOCO,36,Similar,9,Similar,79%,17%,4%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE CHOCO,39,Similar,9,Similar,67%,27%,6%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
CIENAGA,43,,11,,49%,36%,14%,1%,50%,64%,64%,68%,66%,63%,Sociales y Ciudadanas
OFICIALES URBANOS DE CIENAGA,42,Similar,10,Similar,52%,36%,12%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE CIENAGA,40,Similar,9,Mayor,58%,33%,9%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE CIENAGA,48,Menor,12,Similar,32%,38%,27%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE CIENAGA,37,Mayor,7,Mayor,71%,27%,2%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE CIENAGA,42,Similar,10,Similar,52%,36%,11%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE CIENAGA,53,Menor,12,Similar,15%,40%,41%,4%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
CORDOBA,44,,11,,43%,41%,15%,1%,48%,63%,62%,62%,62%,63%,Sociales y Ciudadanas
OFICIALES URBANOS DE CORDOBA,45,Similar,11,Similar,39%,43%,17%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE CORDOBA,42,Similar,10,Similar,50%,40%,10%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE CORDOBA,55,Menor,14,Menor,20%,28%,41%,11%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE CORDOBA,41,Similar,9,Mayor,54%,38%,8%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE CORDOBA,45,Similar,11,Similar,40%,42%,16%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE CORDOBA,60,Menor,10,Similar,5%,26%,56%,14%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
CUCUTA,51,,12,,21%,41%,32%,6%,35%,51%,54%,56%,54%,49%,Sociales y Ciudadanas
OFICIALES URBANOS DE CUCUTA,51,Similar,12,Similar,21%,42%,32%,5%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE CUCUTA,46,Mayor,11,Similar,35%,46%,18%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE CUCUTA,52,Similar,13,Similar,21%,38%,33%,8%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE CUCUTA,46,Mayor,0,Mayor,0%,100%,0%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE CUCUTA,49,Similar,11,Similar,27%,44%,27%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE CUCUTA,57,Menor,12,Similar,9%,34%,45%,12%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 4 DE CUCUTA,65,Menor,10,Mayor,2%,17%,50%,32%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
CUNDINAMARCA,51,,11,,20%,45%,31%,4%,36%,52%,55%,62%,53%,53%,Sociales y Ciudadanas
OFICIALES URBANOS DE CUNDINAMARCA,50,Similar,10,Similar,22%,48%,28%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE CUNDINAMARCA,49,Similar,11,Similar,26%,48%,25%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE CUNDINAMARCA,57,Menor,11,Similar,9%,34%,47%,10%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE CUNDINAMARCA,45,Mayor,10,Similar,38%,45%,17%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE CUNDINAMARCA,48,Similar,10,Similar,25%,49%,24%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE CUNDINAMARCA,54,Similar,11,Similar,13%,42%,39%,5%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 4 DE CUNDINAMARCA,64,Menor,9,Mayor,1%,17%,58%,24%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
DOS QUEBRADAS,53,,11,,14%,46%,37%,4%,32%,48%,53%,62%,52%,51%,Sociales y Ciudadanas
OFICIALES URBANOS DE DOS QUEBRADAS,52,Similar,10,Similar,14%,48%,36%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE DOS QUEBRADAS,49,Mayor,9,Mayor,19%,56%,25%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE DOS QUEBRADAS,58,Menor,12,Similar,8%,34%,46%,12%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE DOS QUEBRADAS,50,Similar,10,Similar,19%,51%,28%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE DOS QUEBRADAS,53,Similar,11,Similar,12%,45%,39%,4%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
DUITAMA,55,,11,,10%,39%,42%,8%,30%,44%,49%,55%,49%,45%,Sociales y Ciudadanas
OFICIALES URBANOS DE DUITAMA,54,Similar,11,Similar,11%,44%,39%,5%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE DUITAMA,53,Similar,11,Similar,15%,45%,35%,6%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE DUITAMA,58,Similar,11,Similar,8%,29%,49%,15%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE DUITAMA,52,Similar,11,Similar,17%,47%,32%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE DUITAMA,58,Similar,11,Similar,5%,34%,49%,12%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
ENVIGADO,56,,11,,10%,37%,45%,8%,29%,42%,48%,55%,44%,43%,Sociales y Ciudadanas
OFICIALES URBANOS DE ENVIGADO,53,Similar,10,Similar,13%,44%,39%,4%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE ENVIGADO,49,Mayor,10,Similar,16%,56%,26%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE ENVIGADO,60,Menor,10,Similar,5%,26%,54%,15%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE ENVIGADO,55,Similar,11,Similar,11%,41%,42%,6%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 4 DE ENVIGADO,62,Menor,10,Similar,3%,20%,58%,19%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
FACATATIVA,54,,11,,14%,41%,40%,6%,30%,46%,50%,56%,49%,50%,Sociales y Ciudadanas
OFICIALES URBANOS DE FACATATIVA,53,Similar,11,Similar,15%,42%,38%,5%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE FACATATIVA,52,Similar,10,Similar,15%,49%,33%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE FACATATIVA,56,Similar,11,Similar,11%,35%,45%,10%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE FACATATIVA,51,Similar,10,Similar,19%,46%,32%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE FACATATIVA,57,Similar,11,Similar,9%,36%,47%,9%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 4 DE FACATATIVA,63,Menor,8,Mayor,0%,25%,50%,25%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
FLORENCIA,51,,11,,21%,43%,32%,4%,35%,52%,54%,58%,53%,52%,Sociales y Ciudadanas
OFICIALES URBANOS DE FLORENCIA,51,Similar,11,Similar,19%,46%,31%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE FLORENCIA,44,Mayor,10,Similar,43%,42%,13%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE FLORENCIA,55,Menor,13,Menor,17%,31%,41%,11%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE FLORENCIA,44,Mayor,9,Mayor,39%,53%,8%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE FLORENCIA,49,Similar,11,Similar,26%,45%,27%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE FLORENCIA,57,Menor,11,Similar,6%,39%,46%,10%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 4 DE FLORENCIA,71,Menor,1,Mayor,0%,0%,25%,75%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
FLORIDABLANCA,56,,12,,10%,36%,43%,10%,28%,42%,47%,54%,48%,41%,Sociales y Ciudadanas
OFICIALES URBANOS DE FLORIDABLANCA,54,Similar,11,Similar,12%,41%,41%,6%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE FLORIDABLANCA,51,Mayor,12,Similar,23%,43%,31%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE FLORIDABLANCA,60,Menor,11,Similar,5%,26%,49%,19%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE FLORIDABLANCA,52,Mayor,11,Similar,16%,45%,35%,4%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE FLORIDABLANCA,57,Similar,11,Similar,8%,34%,47%,11%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 4 DE FLORIDABLANCA,65,Menor,10,Mayor,1%,16%,52%,30%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
FUNZA,53,,11,,13%,42%,41%,4%,32%,46%,52%,54%,50%,52%,Sociales y Ciudadanas
OFICIALES URBANOS DE FUNZA,51,Similar,10,Similar,14%,50%,33%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE FUNZA,50,Similar,12,Similar,22%,40%,34%,4%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE FUNZA,55,Similar,11,Similar,10%,37%,48%,5%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE FUNZA,53,Similar,11,Similar,13%,42%,41%,4%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
FUSAGASUGA,52,,11,,19%,42%,34%,4%,34%,51%,55%,61%,51%,49%,Sociales y Ciudadanas
OFICIALES URBANOS DE FUSAGASUGA,49,Similar,11,Similar,23%,46%,28%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE FUSAGASUGA,53,Similar,11,Similar,14%,41%,39%,6%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE FUSAGASUGA,55,Similar,12,Similar,14%,35%,43%,7%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE FUSAGASUGA,49,Similar,11,Similar,23%,46%,29%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE FUSAGASUGA,54,Similar,11,Similar,15%,37%,41%,7%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GIRARDOT,49,,11,,28%,42%,27%,3%,39%,56%,57%,65%,57%,54%,Sociales y Ciudadanas
OFICIALES URBANOS DE GIRARDOT,45,Mayor,10,Similar,37%,44%,18%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE GIRARDOT,42,Mayor,10,Similar,45%,47%,8%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE GIRARDOT,53,Menor,11,Similar,17%,40%,38%,6%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE GIRARDOT,44,Mayor,10,Similar,41%,43%,16%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE GIRARDOT,51,Similar,11,Similar,20%,42%,33%,5%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GIRON,52,,12,,18%,42%,35%,5%,32%,50%,53%,61%,53%,47%,Sociales y Ciudadanas
OFICIALES URBANOS DE GIRON,52,Similar,11,Similar,18%,44%,34%,4%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE GIRON,50,Similar,11,Similar,22%,47%,30%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE GIRON,59,Menor,12,Similar,9%,28%,46%,18%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE GIRON,51,Similar,12,Similar,20%,44%,32%,4%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE GIRON,55,Similar,12,Similar,13%,39%,39%,9%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GUAINIA,42,,10,,53%,36%,10%,0%,54%,68%,71%,72%,58%,67%,Sociales y Ciudadanas
OFICIALES URBANOS DE GUAINIA,44,Similar,11,Similar,43%,41%,15%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE GUAINIA,39,Similar,7,Mayor,69%,29%,2%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE GUAINIA,38,Mayor,8,Mayor,69%,27%,4%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE GUAINIA,47,Menor,10,Similar,29%,50%,20%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GUAVIARE,46,,10,,32%,48%,19%,1%,43%,61%,62%,62%,61%,58%,Sociales y Ciudadanas
OFICIALES URBANOS DE GUAVIARE,49,Similar,10,Similar,22%,52%,24%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE GUAVIARE,42,Mayor,9,Similar,48%,41%,11%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE GUAVIARE,46,Similar,12,Menor,37%,45%,16%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE GUAVIARE,43,Similar,9,Similar,45%,43%,12%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE GUAVIARE,46,Similar,10,Similar,31%,49%,19%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE GUAVIARE,51,Menor,12,Menor,21%,45%,29%,5%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
HUILA,48,,11,,28%,47%,22%,2%,40%,58%,60%,61%,57%,59%,Sociales y Ciudadanas
OFICIALES URBANOS DE HUILA,48,Similar,11,Similar,26%,49%,23%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE HUILA,46,Similar,10,Similar,33%,47%,18%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE HUILA,57,Menor,12,Similar,9%,32%,46%,13%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE HUILA,45,Similar,10,Similar,35%,50%,14%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE HUILA,47,Similar,11,Similar,30%,48%,21%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE HUILA,52,Menor,12,Similar,16%,44%,34%,6%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 4 DE HUILA,69,Menor,7,Mayor,0%,0%,61%,39%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
IBAGUE,51,,12,,20%,43%,33%,5%,34%,51%,53%,60%,53%,48%,Sociales y Ciudadanas
OFICIALES URBANOS DE IBAGUE,50,Similar,11,Similar,22%,46%,29%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE IBAGUE,46,Mayor,10,Mayor,34%,48%,17%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE IBAGUE,58,Menor,12,Similar,9%,30%,48%,13%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE IBAGUE,45,Mayor,12,Similar,40%,40%,20%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE IBAGUE,48,Similar,10,Mayor,28%,48%,23%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE IBAGUE,54,Similar,11,Similar,14%,40%,39%,7%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 4 DE IBAGUE,63,Menor,11,Similar,4%,19%,53%,24%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
IPIALES,53,,11,,14%,43%,38%,6%,34%,49%,52%,56%,51%,53%,Sociales y Ciudadanas
OFICIALES URBANOS DE IPIALES,55,Similar,11,Similar,9%,41%,43%,7%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE IPIALES,48,Mayor,11,Similar,22%,55%,20%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE IPIALES,51,Similar,12,Similar,22%,38%,36%,5%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE IPIALES,45,Mayor,10,Similar,30%,57%,13%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE IPIALES,52,Similar,11,Similar,15%,46%,34%,4%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE IPIALES,57,Menor,12,Similar,8%,32%,49%,10%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
ITAGUI,53,,11,,15%,42%,39%,5%,32%,48%,52%,60%,53%,49%,Sociales y Ciudadanas
OFICIALES URBANOS DE ITAGUI,53,Similar,11,Similar,15%,43%,39%,4%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE ITAGUI,48,Mayor,11,Similar,26%,50%,22%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE ITAGUI,56,Similar,12,Similar,12%,33%,46%,8%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE ITAGUI,50,Similar,11,Similar,20%,47%,29%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE ITAGUI,54,Similar,11,Similar,13%,41%,41%,5%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 4 DE ITAGUI,66,Menor,7,Mayor,0%,11%,70%,20%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
JAMUNDI,50,,11,,25%,44%,28%,3%,37%,54%,56%,61%,53%,51%,Sociales y Ciudadanas
OFICIALES URBANOS DE JAMUNDI,51,Similar,11,Similar,21%,41%,35%,4%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE JAMUNDI,46,Mayor,10,Similar,33%,47%,19%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE JAMUNDI,54,Menor,11,Similar,12%,42%,38%,7%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE JAMUNDI,41,Mayor,8,Mayor,33%,67%,0%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE JAMUNDI,48,Similar,11,Similar,29%,46%,24%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE JAMUNDI,54,Menor,11,Similar,15%,39%,40%,6%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
LA ESTRELLA,54,,11,,14%,41%,39%,6%,31%,46%,50%,57%,50%,47%,Sociales y Ciudadanas
OFICIALES URBANOS DE LA ESTRELLA,49,Mayor,10,Similar,23%,49%,26%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE LA ESTRELLA,59,Menor,10,Similar,5%,32%,52%,10%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE LA ESTRELLA,47,Mayor,10,Similar,27%,53%,19%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE LA ESTRELLA,55,Similar,11,Similar,12%,39%,44%,6%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 4 DE LA ESTRELLA,61,Menor,10,Similar,3%,27%,49%,21%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
LA GUAJIRA,43,,11,,48%,37%,14%,1%,52%,65%,65%,64%,64%,66%,Sociales y Ciudadanas
OFICIALES URBANOS DE LA GUAJIRA,45,Similar,10,Similar,41%,43%,15%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE LA GUAJIRA,38,Mayor,9,Mayor,66%,28%,6%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE LA GUAJIRA,51,Menor,12,Similar,21%,38%,37%,4%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE LA GUAJIRA,36,Mayor,8,Mayor,76%,20%,3%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE LA GUAJIRA,43,Similar,10,Similar,44%,42%,13%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE LA GUAJIRA,53,Menor,12,Similar,18%,38%,39%,5%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
LORICA,45,,11,,42%,40%,16%,2%,47%,63%,62%,58%,61%,63%,Sociales y Ciudadanas
OFICIALES URBANOS DE LORICA,45,Similar,11,Similar,41%,42%,16%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE LORICA,42,Similar,10,Similar,50%,39%,10%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE LORICA,58,Menor,12,Similar,9%,31%,47%,13%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE LORICA,43,Similar,10,Similar,48%,40%,11%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE LORICA,44,Similar,10,Similar,45%,41%,13%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE LORICA,58,Menor,12,Similar,9%,31%,47%,13%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
MAGANGUE,45,,11,,41%,41%,16%,2%,47%,62%,61%,62%,62%,62%,Sociales y Ciudadanas
OFICIALES URBANOS DE MAGANGUE,45,Similar,11,Similar,42%,42%,15%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE MAGANGUE,42,Similar,10,Similar,52%,38%,10%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE MAGANGUE,53,Menor,12,Similar,15%,44%,34%,7%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE MAGANGUE,44,Similar,10,Similar,45%,41%,13%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE MAGANGUE,56,Menor,12,Similar,10%,41%,40%,9%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
MAGDALENA,42,,10,,51%,37%,11%,1%,51%,66%,65%,63%,66%,65%,Sociales y Ciudadanas
OFICIALES URBANOS DE MAGDALENA,43,Similar,10,Similar,47%,39%,12%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
