pai_et_municipios,promedio,comparacion_ping,desviacion,comparacion_ding,desempeno_a_minus,desempeno_a1,desempeno_a2,desempeno_b1,desempeno_b_plus,Competencia
GC 3 DE IBAGUE,58,Similar,12,Similar,22%,30%,25%,18%,4%,Inglés
GC 4 DE IBAGUE,73,Menor,12,Similar,2%,10%,15%,41%,33%,Inglés
IPIALES,56,,11,,25%,35%,23%,15%,2%,Inglés
OFICIALES URBANOS DE IPIALES,58,Similar,11,Similar,19%,34%,27%,18%,2%,Inglés
OFICIALES RURALES DE IPIALES,48,Mayor,8,Mayor,47%,42%,10%,1%,0%,Inglés
PRIVADOS DE IPIALES,56,Similar,12,Similar,27%,30%,24%,17%,2%,Inglés
GC 1 DE IPIALES,45,Mayor,6,Mayor,72%,26%,2%,0%,0%,Inglés
GC 2 DE IPIALES,53,Similar,10,Similar,29%,40%,21%,9%,1%,Inglés
GC 3 DE IPIALES,63,Menor,11,Similar,8%,23%,32%,32%,5%,Inglés
ITAGUI,56,,13,,27%,31%,22%,15%,5%,Inglés
OFICIALES URBANOS DE ITAGUI,55,Similar,12,Similar,28%,33%,22%,14%,3%,Inglés
OFICIALES RURALES DE ITAGUI,50,Mayor,11,Mayor,42%,34%,17%,6%,1%,Inglés
PRIVADOS DE ITAGUI,63,Menor,16,Menor,18%,19%,22%,25%,16%,Inglés
GC 2 DE ITAGUI,51,Mayor,11,Mayor,38%,35%,17%,8%,1%,Inglés
GC 3 DE ITAGUI,57,Similar,13,Similar,24%,30%,24%,17%,4%,Inglés
GC 4 DE ITAGUI,80,Menor,10,Mayor,0%,2%,6%,33%,59%,Inglés
JAMUNDI,53,,11,,36%,36%,19%,9%,2%,Inglés
OFICIALES URBANOS DE JAMUNDI,54,Similar,10,Similar,28%,39%,24%,7%,1%,Inglés
OFICIALES RURALES DE JAMUNDI,49,Mayor,9,Mayor,48%,35%,12%,4%,0%,Inglés
PRIVADOS DE JAMUNDI,59,Menor,12,Similar,19%,31%,24%,20%,5%,Inglés
GC 1 DE JAMUNDI,41,Mayor,8,Mayor,67%,33%,0%,0%,0%,Inglés
GC 2 DE JAMUNDI,50,Similar,10,Similar,42%,36%,16%,5%,1%,Inglés
GC 3 DE JAMUNDI,58,Menor,12,Similar,21%,34%,25%,16%,4%,Inglés
LA ESTRELLA,59,,14,,24%,27%,20%,20%,9%,Inglés
OFICIALES URBANOS DE LA ESTRELLA,51,Mayor,11,Mayor,41%,34%,17%,7%,1%,Inglés
PRIVADOS DE LA ESTRELLA,67,Menor,13,Similar,7%,20%,24%,34%,16%,Inglés
GC 2 DE LA ESTRELLA,48,Mayor,10,Mayor,52%,32%,12%,4%,0%,Inglés
GC 3 DE LA ESTRELLA,60,Similar,13,Similar,17%,29%,23%,23%,8%,Inglés
GC 4 DE LA ESTRELLA,76,Menor,12,Mayor,3%,3%,17%,43%,35%,Inglés
LA GUAJIRA,46,,9,,63%,27%,7%,2%,0%,Inglés
OFICIALES URBANOS DE LA GUAJIRA,47,Similar,9,Similar,56%,33%,8%,2%,0%,Inglés
OFICIALES RURALES DE LA GUAJIRA,41,Mayor,7,Mayor,83%,15%,1%,0%,0%,Inglés
PRIVADOS DE LA GUAJIRA,54,Menor,12,Menor,30%,36%,19%,12%,4%,Inglés
GC 1 DE LA GUAJIRA,40,Mayor,6,Mayor,88%,11%,0%,0%,0%,Inglés
GC 2 DE LA GUAJIRA,46,Similar,8,Similar,62%,31%,6%,2%,0%,Inglés
GC 3 DE LA GUAJIRA,55,Menor,12,Menor,27%,36%,22%,13%,3%,Inglés
LORICA,47,,10,,57%,29%,10%,4%,1%,Inglés
OFICIALES URBANOS DE LORICA,48,Similar,9,Similar,54%,33%,10%,3%,0%,Inglés
OFICIALES RURALES DE LORICA,45,Similar,8,Mayor,67%,25%,7%,1%,0%,Inglés
PRIVADOS DE LORICA,61,Menor,12,Menor,13%,29%,26%,28%,4%,Inglés
GC 1 DE LORICA,44,Similar,8,Mayor,69%,24%,7%,0%,0%,Inglés
GC 2 DE LORICA,47,Similar,9,Similar,58%,31%,9%,2%,0%,Inglés
GC 3 DE LORICA,61,Menor,12,Menor,13%,29%,26%,28%,4%,Inglés
MAGANGUE,47,,10,,58%,27%,9%,5%,1%,Inglés
OFICIALES URBANOS DE MAGANGUE,47,Similar,9,Similar,58%,30%,8%,4%,0%,Inglés
OFICIALES RURALES DE MAGANGUE,43,Mayor,8,Mayor,73%,21%,5%,0%,0%,Inglés
PRIVADOS DE MAGANGUE,56,Menor,13,Menor,29%,28%,20%,18%,5%,Inglés
GC 2 DE MAGANGUE,46,Similar,9,Similar,63%,28%,7%,3%,0%,Inglés
GC 3 DE MAGANGUE,59,Menor,13,Menor,19%,27%,26%,22%,6%,Inglés
MAGDALENA,43,,9,,73%,20%,5%,2%,0%,Inglés
OFICIALES URBANOS DE MAGDALENA,44,Similar,9,Similar,69%,23%,6%,2%,0%,Inglés
OFICIALES RURALES DE MAGDALENA,42,Similar,7,Mayor,81%,16%,2%,0%,0%,Inglés
PRIVADOS DE MAGDALENA,53,Menor,14,Menor,40%,27%,17%,11%,5%,Inglés
GC 1 DE MAGDALENA,41,Similar,7,Mayor,84%,14%,2%,0%,0%,Inglés
GC 2 DE MAGDALENA,43,Similar,9,Similar,73%,21%,4%,2%,0%,Inglés
GC 3 DE MAGDALENA,56,Menor,13,Menor,26%,33%,20%,13%,7%,Inglés
MAICAO,47,,10,,58%,29%,9%,3%,1%,Inglés
OFICIALES URBANOS DE MAICAO,47,Similar,9,Similar,54%,33%,10%,2%,0%,Inglés
OFICIALES RURALES DE MAICAO,40,Mayor,7,Mayor,85%,14%,1%,0%,0%,Inglés
PRIVADOS DE MAICAO,59,Menor,13,Menor,22%,29%,22%,20%,6%,Inglés
GC 1 DE MAICAO,42,Mayor,8,Mayor,76%,19%,4%,1%,0%,Inglés
GC 2 DE MAICAO,47,Similar,9,Similar,54%,33%,10%,2%,0%,Inglés
GC 3 DE MAICAO,59,Menor,13,Menor,22%,29%,22%,20%,6%,Inglés
MALAMBO,48,,11,,51%,32%,11%,6%,0%,Inglés
OFICIALES URBANOS DE MALAMBO,46,Similar,9,Mayor,58%,32%,7%,3%,0%,Inglés
OFICIALES RURALES DE MALAMBO,44,Mayor,7,Mayor,72%,26%,3%,0%,0%,Inglés
PRIVADOS DE MALAMBO,51,Similar,12,Similar,41%,32%,16%,10%,1%,Inglés
GC 2 DE MALAMBO,48,Similar,10,Similar,53%,32%,10%,4%,0%,Inglés
GC 3 DE MALAMBO,63,Menor,12,Similar,10%,24%,25%,38%,4%,Inglés
MANIZALES,57,,13,,25%,31%,23%,16%,4%,Inglés
OFICIALES URBANOS DE MANIZALES,55,Similar,11,Mayor,29%,34%,23%,13%,2%,Inglés
OFICIALES RURALES DE MANIZALES,49,Mayor,11,Mayor,44%,36%,14%,5%,0%,Inglés
PRIVADOS DE MANIZALES,66,Menor,12,Similar,6%,19%,29%,33%,14%,Inglés
GC 1 DE MANIZALES,48,Mayor,8,Mayor,44%,39%,17%,0%,0%,Inglés
GC 2 DE MANIZALES,50,Mayor,11,Mayor,42%,36%,16%,6%,1%,Inglés
GC 3 DE MANIZALES,59,Similar,12,Similar,18%,30%,28%,20%,5%,Inglés
GC 4 DE MANIZALES,75,Menor,9,Mayor,0%,4%,9%,56%,31%,Inglés
MEDELLIN,54,,13,,36%,30%,17%,12%,4%,Inglés
OFICIALES URBANOS DE MEDELLIN,51,Similar,12,Similar,41%,33%,16%,8%,2%,Inglés
OFICIALES RURALES DE MEDELLIN,50,Mayor,11,Mayor,45%,33%,15%,6%,1%,Inglés
PRIVADOS DE MEDELLIN,63,Menor,15,Menor,16%,20%,23%,27%,14%,Inglés
GC 2 DE MEDELLIN,48,Mayor,10,Mayor,53%,31%,12%,4%,1%,Inglés
GC 3 DE MEDELLIN,56,Similar,13,Similar,27%,31%,21%,16%,5%,Inglés
GC 4 DE MEDELLIN,77,Menor,11,Mayor,1%,3%,12%,41%,42%,Inglés
META,49,,10,,47%,34%,13%,5%,1%,Inglés
OFICIALES URBANOS DE META,49,Similar,10,Similar,48%,35%,13%,4%,0%,Inglés
OFICIALES RURALES DE META,48,Similar,11,Similar,52%,31%,11%,5%,1%,Inglés
PRIVADOS DE META,56,Menor,13,Menor,27%,31%,22%,16%,5%,Inglés
GC 1 DE META,42,Mayor,8,Mayor,73%,23%,3%,1%,0%,Inglés
GC 2 DE META,48,Similar,10,Similar,50%,34%,11%,3%,0%,Inglés
GC 3 DE META,58,Menor,12,Menor,18%,34%,26%,17%,5%,Inglés
MONTERIA,54,,12,,34%,33%,19%,11%,3%,Inglés
OFICIALES URBANOS DE MONTERIA,53,Similar,11,Similar,32%,36%,21%,9%,1%,Inglés
OFICIALES RURALES DE MONTERIA,46,Mayor,8,Mayor,59%,32%,8%,1%,0%,Inglés
PRIVADOS DE MONTERIA,61,Menor,14,Menor,17%,26%,23%,24%,10%,Inglés
GC 1 DE MONTERIA,46,Mayor,8,Mayor,62%,29%,8%,1%,0%,Inglés
GC 2 DE MONTERIA,51,Similar,10,Mayor,37%,37%,18%,7%,0%,Inglés
GC 3 DE MONTERIA,63,Menor,13,Similar,11%,25%,27%,27%,9%,Inglés
GC 4 DE MONTERIA,77,Menor,8,Mayor,0%,0%,10%,41%,49%,Inglés
MOSQUERA,59,,12,,17%,32%,26%,18%,6%,Inglés
OFICIALES URBANOS DE MOSQUERA,55,Mayor,10,Mayor,23%,41%,26%,9%,1%,Inglés
PRIVADOS DE MOSQUERA,66,Menor,13,Similar,8%,18%,26%,34%,14%,Inglés
GC 2 DE MOSQUERA,50,Mayor,9,Mayor,43%,39%,13%,4%,0%,Inglés
GC 3 DE MOSQUERA,59,Similar,11,Similar,16%,33%,29%,18%,4%,Inglés
GC 4 DE MOSQUERA,78,Menor,11,Similar,0%,6%,7%,40%,46%,Inglés
NARIÑO,48,,10,,51%,34%,11%,3%,0%,Inglés
OFICIALES URBANOS DE NARIÑO,49,Similar,10,Similar,48%,35%,13%,4%,0%,Inglés
OFICIALES RURALES DE NARIÑO,46,Similar,9,Similar,58%,32%,8%,1%,0%,Inglés
PRIVADOS DE NARIÑO,47,Similar,11,Similar,64%,23%,5%,9%,0%,Inglés
GC 1 DE NARIÑO,44,Mayor,9,Similar,69%,24%,6%,1%,0%,Inglés
GC 2 DE NARIÑO,49,Similar,10,Similar,46%,37%,13%,4%,0%,Inglés
GC 3 DE NARIÑO,36,Mayor,0,Mayor,100%,0%,0%,0%,0%,Inglés
NEIVA,55,,13,,30%,32%,20%,14%,4%,Inglés
OFICIALES URBANOS DE NEIVA,54,Similar,11,Mayor,32%,36%,20%,10%,2%,Inglés
OFICIALES RURALES DE NEIVA,46,Mayor,8,Mayor,59%,34%,5%,2%,0%,Inglés
PRIVADOS DE NEIVA,63,Menor,14,Similar,16%,20%,23%,28%,14%,Inglés
GC 2 DE NEIVA,50,Mayor,10,Mayor,43%,36%,14%,6%,1%,Inglés
GC 3 DE NEIVA,59,Menor,13,Similar,19%,29%,25%,20%,7%,Inglés
GC 4 DE NEIVA,77,Menor,7,Mayor,0%,0%,0%,56%,44%,Inglés
NORTE DE SANTANDER,50,,11,,44%,33%,14%,7%,1%,Inglés
OFICIALES URBANOS DE NORTE DE SANTANDER,51,Similar,11,Similar,39%,37%,16%,7%,1%,Inglés
OFICIALES RURALES DE NORTE DE SANTANDER,45,Mayor,8,Mayor,66%,27%,6%,1%,0%,Inglés
PRIVADOS DE NORTE DE SANTANDER,60,Menor,14,Menor,20%,24%,24%,24%,7%,Inglés
GC 1 DE NORTE DE SANTANDER,44,Mayor,8,Mayor,73%,22%,3%,1%,0%,Inglés
GC 2 DE NORTE DE SANTANDER,50,Similar,10,Similar,45%,35%,13%,6%,1%,Inglés
GC 3 DE NORTE DE SANTANDER,61,Menor,13,Menor,14%,30%,26%,24%,7%,Inglés
PALMIRA,55,,11,,26%,37%,23%,12%,2%,Inglés
OFICIALES URBANOS DE PALMIRA,56,Similar,11,Similar,24%,37%,23%,13%,3%,Inglés
OFICIALES RURALES DE PALMIRA,51,Mayor,9,Mayor,35%,41%,19%,4%,0%,Inglés
PRIVADOS DE PALMIRA,56,Similar,11,Similar,24%,29%,31%,16%,1%,Inglés
GC 2 DE PALMIRA,54,Similar,11,Similar,30%,38%,21%,10%,1%,Inglés
GC 3 DE PALMIRA,59,Menor,11,Similar,15%,33%,29%,19%,4%,Inglés
PASTO,56,,11,,22%,37%,25%,13%,3%,Inglés
OFICIALES URBANOS DE PASTO,56,Similar,11,Similar,21%,38%,26%,13%,2%,Inglés
OFICIALES RURALES DE PASTO,50,Mayor,8,Mayor,39%,45%,14%,1%,0%,Inglés
PRIVADOS DE PASTO,62,Menor,11,Similar,10%,27%,32%,25%,7%,Inglés
GC 1 DE PASTO,46,Mayor,8,Mayor,57%,36%,7%,0%,0%,Inglés
GC 2 DE PASTO,53,Similar,10,Similar,28%,42%,20%,8%,1%,Inglés
GC 3 DE PASTO,61,Menor,11,Similar,9%,28%,34%,23%,5%,Inglés
PEREIRA,56,,13,,28%,33%,21%,14%,5%,Inglés
OFICIALES URBANOS DE PEREIRA,54,Similar,11,Mayor,30%,35%,21%,12%,2%,Inglés
OFICIALES RURALES DE PEREIRA,51,Mayor,11,Mayor,38%,38%,16%,6%,1%,Inglés
PRIVADOS DE PEREIRA,67,Menor,13,Similar,7%,19%,23%,31%,19%,Inglés
GC 1 DE PEREIRA,42,Mayor,6,Mayor,83%,17%,0%,0%,0%,Inglés
GC 2 DE PEREIRA,50,Mayor,10,Mayor,41%,37%,15%,6%,1%,Inglés
GC 3 DE PEREIRA,59,Similar,12,Similar,19%,31%,25%,19%,6%,Inglés
GC 4 DE PEREIRA,75,Menor,11,Mayor,2%,6%,12%,41%,39%,Inglés
PIEDECUESTA,55,,11,,27%,35%,23%,12%,2%,Inglés
OFICIALES URBANOS DE PIEDECUESTA,54,Similar,11,Similar,27%,38%,23%,12%,1%,Inglés
OFICIALES RURALES DE PIEDECUESTA,51,Mayor,9,Mayor,39%,36%,20%,4%,0%,Inglés
PRIVADOS DE PIEDECUESTA,62,Menor,13,Menor,14%,24%,29%,25%,8%,Inglés
GC 2 DE PIEDECUESTA,52,Similar,10,Similar,36%,38%,18%,7%,1%,Inglés
GC 3 DE PIEDECUESTA,59,Menor,11,Similar,15%,33%,30%,18%,4%,Inglés
GC 4 DE PIEDECUESTA,74,Menor,11,Similar,0%,7%,27%,40%,27%,Inglés
PITALITO,55,,11,,29%,35%,20%,14%,2%,Inglés
OFICIALES URBANOS DE PITALITO,58,Similar,11,Similar,21%,34%,22%,19%,4%,Inglés
OFICIALES RURALES DE PITALITO,49,Mayor,9,Mayor,48%,36%,13%,3%,0%,Inglés
PRIVADOS DE PITALITO,57,Similar,10,Similar,16%,37%,27%,18%,2%,Inglés
GC 2 DE PITALITO,54,Similar,11,Similar,31%,34%,19%,14%,2%,Inglés
GC 3 DE PITALITO,58,Similar,9,Mayor,11%,38%,31%,18%,2%,Inglés
POPAYAN,53,,12,,34%,35%,19%,11%,2%,Inglés
OFICIALES URBANOS DE POPAYAN,54,Similar,11,Similar,28%,36%,22%,12%,2%,Inglés
OFICIALES RURALES DE POPAYAN,47,Mayor,8,Mayor,53%,39%,6%,3%,0%,Inglés
PRIVADOS DE POPAYAN,51,Similar,13,Similar,44%,30%,14%,10%,3%,Inglés
GC 1 DE POPAYAN,43,Mayor,7,Mayor,65%,32%,3%,0%,0%,Inglés
GC 2 DE POPAYAN,50,Similar,10,Mayor,40%,38%,15%,6%,1%,Inglés
GC 3 DE POPAYAN,60,Menor,12,Similar,16%,27%,29%,24%,5%,Inglés
GC 4 DE POPAYAN,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Inglés
PUTUMAYO,48,,10,,50%,33%,12%,4%,0%,Inglés
OFICIALES URBANOS DE PUTUMAYO,50,Similar,10,Similar,42%,35%,16%,6%,1%,Inglés
OFICIALES RURALES DE PUTUMAYO,45,Similar,8,Mayor,66%,29%,4%,1%,0%,Inglés
PRIVADOS DE PUTUMAYO,55,Menor,12,Menor,38%,18%,26%,18%,0%,Inglés
GC 1 DE PUTUMAYO,44,Mayor,8,Mayor,68%,27%,4%,1%,0%,Inglés
GC 2 DE PUTUMAYO,49,Similar,10,Similar,47%,35%,13%,5%,0%,Inglés
GC 3 DE PUTUMAYO,60,Menor,10,Similar,9%,34%,34%,19%,4%,Inglés
QUIBDO,46,,10,,61%,26%,9%,3%,1%,Inglés
OFICIALES URBANOS DE QUIBDO,46,Similar,10,Similar,61%,27%,8%,3%,1%,Inglés
OFICIALES RURALES DE QUIBDO,43,Similar,8,Mayor,73%,24%,3%,0%,0%,Inglés
PRIVADOS DE QUIBDO,46,Similar,13,Menor,62%,18%,14%,3%,3%,Inglés
GC 1 DE QUIBDO,40,Mayor,5,Mayor,94%,6%,0%,0%,0%,Inglés
GC 2 DE QUIBDO,43,Similar,8,Mayor,72%,22%,5%,1%,0%,Inglés
GC 3 DE QUIBDO,53,Menor,11,Similar,34%,37%,18%,8%,3%,Inglés
QUINDIO,53,,11,,34%,37%,19%,9%,2%,Inglés
OFICIALES URBANOS DE QUINDIO,52,Similar,10,Similar,34%,39%,18%,8%,1%,Inglés
OFICIALES RURALES DE QUINDIO,51,Similar,10,Similar,39%,37%,18%,6%,1%,Inglés
PRIVADOS DE QUINDIO,70,Menor,11,Similar,3%,6%,31%,39%,21%,Inglés
GC 2 DE QUINDIO,51,Similar,10,Similar,38%,40%,16%,5%,1%,Inglés
GC 3 DE QUINDIO,58,Menor,12,Similar,21%,29%,27%,19%,5%,Inglés
RIOHACHA,49,,12,,53%,29%,11%,6%,2%,Inglés
OFICIALES URBANOS DE RIOHACHA,48,Similar,10,Mayor,53%,34%,10%,3%,0%,Inglés
OFICIALES RURALES DE RIOHACHA,41,Mayor,7,Mayor,86%,12%,1%,0%,0%,Inglés
PRIVADOS DE RIOHACHA,60,Menor,15,Menor,22%,25%,21%,22%,10%,Inglés
GC 1 DE RIOHACHA,38,Mayor,7,Mayor,92%,7%,2%,0%,0%,Inglés
GC 2 DE RIOHACHA,46,Similar,9,Mayor,60%,30%,7%,2%,0%,Inglés
GC 3 DE RIOHACHA,56,Menor,14,Menor,31%,29%,20%,14%,6%,Inglés
RIONEGRO,60,,12,,17%,30%,27%,20%,7%,Inglés
OFICIALES URBANOS DE RIONEGRO,59,Similar,11,Similar,16%,33%,29%,19%,3%,Inglés
OFICIALES RURALES DE RIONEGRO,54,Mayor,10,Mayor,27%,37%,25%,10%,2%,Inglés
PRIVADOS DE RIONEGRO,70,Menor,13,Similar,4%,13%,25%,36%,22%,Inglés
GC 2 DE RIONEGRO,55,Mayor,11,Similar,27%,38%,21%,11%,3%,Inglés
GC 3 DE RIONEGRO,60,Similar,12,Similar,14%,29%,30%,21%,6%,Inglés
GC 4 DE RIONEGRO,79,Menor,9,Mayor,0%,0%,9%,43%,49%,Inglés
RISARALDA,49,,11,,46%,34%,13%,6%,1%,Inglés
OFICIALES URBANOS DE RISARALDA,51,Similar,10,Similar,39%,38%,15%,6%,1%,Inglés
OFICIALES RURALES DE RISARALDA,45,Mayor,9,Mayor,67%,24%,6%,2%,0%,Inglés
PRIVADOS DE RISARALDA,66,Menor,9,Mayor,0%,21%,29%,43%,7%,Inglés
GC 1 DE RISARALDA,41,Mayor,7,Mayor,82%,17%,2%,0%,0%,Inglés
GC 2 DE RISARALDA,48,Similar,10,Similar,51%,34%,11%,4%,1%,Inglés
GC 3 DE RISARALDA,56,Menor,11,Similar,21%,40%,23%,14%,2%,Inglés
SABANETA,61,,13,,16%,25%,26%,24%,9%,Inglés
OFICIALES URBANOS DE SABANETA,59,Similar,12,Similar,18%,27%,29%,19%,6%,Inglés
OFICIALES RURALES DE SABANETA,55,Mayor,11,Mayor,31%,40%,14%,12%,4%,Inglés
PRIVADOS DE SABANETA,70,Menor,12,Similar,3%,11%,27%,41%,19%,Inglés
GC 3 DE SABANETA,61,Similar,13,Similar,17%,26%,26%,23%,9%,Inglés
GC 4 DE SABANETA,77,Menor,11,Mayor,0%,0%,18%,45%,36%,Inglés
SAHAGUN,50,,11,,44%,35%,14%,5%,2%,Inglés
OFICIALES URBANOS DE SAHAGUN,50,Similar,9,Mayor,43%,39%,13%,4%,0%,Inglés
OFICIALES RURALES DE SAHAGUN,46,Mayor,9,Mayor,58%,31%,11%,1%,0%,Inglés
PRIVADOS DE SAHAGUN,62,Menor,12,Similar,11%,25%,32%,20%,12%,Inglés
GC 1 DE SAHAGUN,47,Similar,9,Mayor,52%,34%,13%,1%,0%,Inglés
GC 2 DE SAHAGUN,49,Similar,9,Mayor,46%,38%,11%,4%,0%,Inglés
GC 3 DE SAHAGUN,62,Menor,12,Similar,11%,25%,32%,20%,12%,Inglés
SAN ANDRES,57,,14,,26%,25%,22%,23%,5%,Inglés
OFICIALES URBANOS DE SAN ANDRES,54,Similar,14,Similar,37%,25%,15%,20%,2%,Inglés
OFICIALES RURALES DE SAN ANDRES,56,Similar,13,Similar,26%,28%,26%,18%,1%,Inglés
PRIVADOS DE SAN ANDRES,66,Menor,14,Similar,9%,17%,23%,35%,15%,Inglés
GC 2 DE SAN ANDRES,50,Mayor,12,Mayor,45%,29%,17%,9%,0%,Inglés
GC 3 DE SAN ANDRES,63,Menor,13,Similar,12%,22%,26%,33%,8%,Inglés
SANTA MARTA,51,,13,,44%,30%,15%,9%,3%,Inglés
OFICIALES URBANOS DE SANTA MARTA,49,Similar,11,Mayor,48%,32%,13%,6%,1%,Inglés
OFICIALES RURALES DE SANTA MARTA,45,Mayor,9,Mayor,66%,26%,6%,2%,0%,Inglés
PRIVADOS DE SANTA MARTA,61,Menor,14,Similar,17%,24%,25%,24%,10%,Inglés
GC 1 DE SANTA MARTA,42,Mayor,9,Mayor,71%,25%,2%,2%,0%,Inglés
GC 2 DE SANTA MARTA,47,Mayor,10,Mayor,55%,30%,10%,4%,1%,Inglés
GC 3 DE SANTA MARTA,60,Menor,13,Similar,18%,28%,25%,21%,8%,Inglés
GC 4 DE SANTA MARTA,56,Menor,16,Menor,25%,25%,25%,25%,0%,Inglés
SANTANDER,50,,11,,42%,36%,15%,6%,1%,Inglés
OFICIALES URBANOS DE SANTANDER,51,Similar,10,Similar,38%,38%,17%,6%,1%,Inglés
OFICIALES RURALES DE SANTANDER,47,Similar,9,Mayor,55%,34%,9%,2%,0%,Inglés
PRIVADOS DE SANTANDER,58,Menor,15,Menor,26%,22%,23%,25%,5%,Inglés
GC 1 DE SANTANDER,45,Mayor,9,Mayor,62%,30%,6%,2%,0%,Inglés
GC 2 DE SANTANDER,49,Similar,10,Similar,45%,37%,13%,4%,1%,Inglés
GC 3 DE SANTANDER,60,Menor,12,Similar,14%,30%,31%,21%,4%,Inglés
SINCELEJO,52,,12,,41%,31%,15%,10%,3%,Inglés
OFICIALES URBANOS DE SINCELEJO,50,Similar,10,Mayor,44%,34%,15%,7%,0%,Inglés
OFICIALES RURALES DE SINCELEJO,44,Mayor,9,Mayor,68%,26%,6%,1%,0%,Inglés
PRIVADOS DE SINCELEJO,62,Menor,15,Menor,19%,22%,20%,26%,13%,Inglés
GC 1 DE SINCELEJO,43,Mayor,8,Mayor,74%,22%,3%,1%,0%,Inglés
GC 2 DE SINCELEJO,50,Similar,10,Mayor,44%,34%,15%,6%,0%,Inglés
GC 3 DE SINCELEJO,64,Menor,14,Menor,15%,20%,22%,29%,14%,Inglés
SOACHA,53,,11,,31%,37%,22%,9%,1%,Inglés
OFICIALES URBANOS DE SOACHA,51,Similar,10,Similar,39%,39%,17%,5%,0%,Inglés
OFICIALES RURALES DE SOACHA,47,Mayor,8,Mayor,52%,38%,10%,0%,0%,Inglés
PRIVADOS DE SOACHA,56,Similar,11,Similar,22%,35%,27%,15%,2%,Inglés
GC 2 DE SOACHA,50,Similar,9,Mayor,41%,39%,16%,4%,0%,Inglés
GC 3 DE SOACHA,55,Similar,11,Similar,26%,36%,25%,12%,1%,Inglés
SOGAMOSO,57,,11,,19%,36%,26%,15%,4%,Inglés
OFICIALES URBANOS DE SOGAMOSO,55,Similar,9,Mayor,22%,42%,26%,9%,1%,Inglés
OFICIALES RURALES DE SOGAMOSO,50,Mayor,7,Mayor,36%,50%,13%,1%,0%,Inglés
PRIVADOS DE SOGAMOSO,63,Menor,13,Menor,12%,23%,28%,28%,9%,Inglés
GC 2 DE SOGAMOSO,52,Mayor,9,Mayor,34%,41%,19%,6%,0%,Inglés
GC 3 DE SOGAMOSO,59,Similar,11,Similar,15%,34%,28%,18%,5%,Inglés
SOLEDAD,51,,12,,43%,32%,15%,8%,2%,Inglés
OFICIALES URBANOS DE SOLEDAD,50,Similar,11,Similar,43%,35%,14%,6%,1%,Inglés
PRIVADOS DE SOLEDAD,51,Similar,13,Similar,43%,29%,15%,10%,3%,Inglés
GC 2 DE SOLEDAD,48,Similar,10,Mayor,52%,32%,12%,4%,1%,Inglés
GC 3 DE SOLEDAD,58,Menor,13,Similar,22%,33%,22%,18%,5%,Inglés
SUCRE,45,,10,,65%,24%,8%,2%,0%,Inglés
OFICIALES URBANOS DE SUCRE,46,Similar,10,Similar,59%,29%,10%,3%,0%,Inglés
OFICIALES RURALES DE SUCRE,42,Similar,8,Mayor,80%,17%,3%,0%,0%,Inglés
PRIVADOS DE SUCRE,58,Menor,13,Menor,24%,29%,25%,18%,4%,Inglés
GC 1 DE SUCRE,41,Mayor,7,Mayor,83%,15%,2%,0%,0%,Inglés
GC 2 DE SUCRE,46,Similar,9,Similar,62%,27%,9%,2%,0%,Inglés
GC 3 DE SUCRE,62,Menor,12,Menor,9%,28%,32%,25%,6%,Inglés
TOLIMA,47,,10,,56%,31%,9%,3%,1%,Inglés
OFICIALES URBANOS DE TOLIMA,48,Similar,10,Similar,53%,34%,10%,3%,0%,Inglés
OFICIALES RURALES DE TOLIMA,44,Similar,8,Mayor,68%,26%,5%,1%,0%,Inglés
PRIVADOS DE TOLIMA,53,Menor,13,Menor,37%,27%,21%,12%,2%,Inglés
GC 1 DE TOLIMA,43,Mayor,8,Mayor,74%,22%,4%,0%,0%,Inglés
GC 2 DE TOLIMA,46,Similar,9,Similar,57%,32%,8%,2%,0%,Inglés
GC 3 DE TOLIMA,57,Menor,13,Menor,24%,29%,26%,17%,4%,Inglés
TULUA,53,,13,,37%,30%,17%,12%,3%,Inglés
OFICIALES URBANOS DE TULUA,51,Similar,11,Mayor,44%,32%,16%,8%,1%,Inglés
OFICIALES RURALES DE TULUA,48,Mayor,9,Mayor,54%,35%,7%,3%,0%,Inglés
PRIVADOS DE TULUA,63,Menor,13,Similar,11%,24%,27%,27%,11%,Inglés
GC 1 DE TULUA,47,Mayor,8,Mayor,54%,37%,7%,2%,0%,Inglés
GC 2 DE TULUA,50,Similar,11,Mayor,47%,31%,14%,7%,1%,Inglés
GC 3 DE TULUA,61,Menor,13,Similar,15%,28%,26%,22%,9%,Inglés
TUMACO,42,,9,,76%,17%,5%,1%,0%,Inglés
OFICIALES URBANOS DE TUMACO,43,Similar,9,Similar,75%,19%,5%,1%,0%,Inglés
OFICIALES RURALES DE TUMACO,39,Similar,7,Mayor,89%,10%,1%,0%,0%,Inglés
PRIVADOS DE TUMACO,52,Menor,13,Menor,38%,35%,16%,9%,3%,Inglés
GC 1 DE TUMACO,39,Similar,7,Mayor,90%,9%,1%,0%,0%,Inglés
GC 2 DE TUMACO,42,Similar,9,Similar,77%,18%,4%,1%,0%,Inglés
GC 3 DE TUMACO,58,Menor,11,Menor,13%,42%,28%,13%,4%,Inglés
TUNJA,60,,12,,15%,29%,27%,22%,6%,Inglés
OFICIALES URBANOS DE TUNJA,58,Similar,11,Similar,18%,35%,28%,16%,3%,Inglés
