codigo_dane,pai_et_municipios,establecimientos_educativos,promedio,comparacion_plc,desviacion,comparacion_dlc,desempeno_1,desempeno_2,desempeno_3,desempeno_4,aprendizaje_1,aprendizaje_2,aprendizaje_3,Competencia
311769004284,BOGOTÁ D.C.,INSTITUTO EDUCACION Y VIDA,61,Similar,7,Similar,0%,5%,68%,27%,23%,36%,36%,Lectura Crítica
3110010353,BOGOTÁ D.C.,COLEGIO BILINGUE REINO UNIDO,57,Similar,10,Similar,0%,22%,58%,20%,35%,39%,43%,Lectura Crítica
311001091234,BOGOTÁ D.C.,LIC CIAL NUEVO ALEJANDRINO,53,Similar,9,Similar,6%,38%,50%,6%,43%,45%,49%,Lectura Crítica
111001107794,BOGOTÁ D.C.,COLEGIO MARIA CANO (IED),53,Similar,8,Similar,1%,42%,49%,8%,38%,52%,48%,Lectura Crítica
311001041113,BOGOTÁ D.C.,INSTITUTO CERROS DEL SUR - ICES,63,Similar,17,Menor,0%,0%,50%,50%,11%,36%,42%,Lectura Crítica
111001009652,BOGOTÁ D.C.,COLEGIO CENTRO INTEGRAL  JOSE MARIA CORDOBA (IED),56,Similar,9,Similar,0%,26%,60%,13%,34%,43%,46%,Lectura Crítica
311001098701,BOGOTÁ D.C.,GIMNASIO LAS PALMAS,66,Menor,9,Similar,0%,4%,30%,65%,19%,23%,30%,Lectura Crítica
311001099308,BOGOTÁ D.C.,COLEGIO SAGRADO CORAZON,59,Similar,8,Similar,0%,14%,66%,21%,28%,39%,38%,Lectura Crítica
111265000025,BOGOTÁ D.C.,COLEGIO GENERAL SANTANDER (IED),54,Similar,9,Similar,0%,33%,53%,13%,38%,47%,49%,Lectura Crítica
111001107069,BOGOTÁ D.C.,COLEGIO VIRGINIA GUTIERREZ DE PINEDA (IED),55,Similar,10,Similar,2%,30%,55%,13%,36%,44%,48%,Lectura Crítica
31100100031,BOGOTÁ D.C.,COLEGIO GLENN DOMAN,58,Similar,7,Similar,0%,20%,53%,27%,36%,39%,43%,Lectura Crítica
111001013811,BOGOTÁ D.C.,COLEGIO SAN AGUSTIN (IED),52,Similar,9,Similar,2%,41%,50%,7%,40%,50%,52%,Lectura Crítica
111001030864,BOGOTÁ D.C.,COLEGIO ALEMANIA UNIFICADA (IED),49,Mayor,9,Similar,7%,51%,40%,1%,51%,53%,58%,Lectura Crítica
311279000281,BOGOTÁ D.C.,COLEGIO SANTA ANA,66,Menor,6,Mayor,0%,1%,42%,57%,17%,25%,28%,Lectura Crítica
311001065489,BOGOTÁ D.C.,LICEO CAMPO DAVID,74,Menor,5,Mayor,0%,0%,10%,90%,11%,11%,14%,Lectura Crítica
31100103625,BOGOTÁ D.C.,LICEO DAMFUS,62,Similar,13,Similar,0%,7%,67%,27%,27%,34%,39%,Lectura Crítica
311001107581,BOGOTÁ D.C.,GIMNASIO MODELIA REAL,61,Similar,9,Similar,0%,6%,72%,22%,28%,37%,38%,Lectura Crítica
311001044902,BOGOTÁ D.C.,COLEGIO JUAN RULFO,58,Similar,7,Similar,0%,23%,62%,15%,34%,39%,45%,Lectura Crítica
311001078203,BOGOTÁ D.C.,COLEGIO SAN MARINO,52,Similar,6,Mayor,0%,50%,50%,0%,44%,57%,52%,Lectura Crítica
311001040362,BOGOTÁ D.C.,LICEO SAN JOSE ORIENTAL,55,Similar,8,Similar,0%,29%,61%,10%,38%,46%,46%,Lectura Crítica
311001101574,BOGOTÁ D.C.,COLEGIO GIMNASIO ROMANO MIXTO,52,Similar,10,Similar,0%,50%,40%,10%,38%,54%,48%,Lectura Crítica
111001045705,BOGOTÁ D.C.,COLEGIO LA AURORA (IED),54,Similar,9,Similar,2%,30%,56%,12%,39%,48%,47%,Lectura Crítica
111001018252,BOGOTÁ D.C.,COLEGIO JOSE MARIA CARBONELL (IED),53,Similar,7,Similar,0%,32%,61%,7%,39%,48%,52%,Lectura Crítica
311265000954,BOGOTÁ D.C.,COLEGIO YERMO Y PARRES,61,Similar,8,Similar,2%,10%,63%,26%,25%,37%,39%,Lectura Crítica
311001092753,BOGOTÁ D.C.,GIMNASIO CRISTIANO ADONAI SAS,61,Similar,13,Similar,0%,0%,67%,33%,22%,44%,31%,Lectura Crítica
311001026441,BOGOTÁ D.C.,COLEGIO LOS PINOS (IED),48,Mayor,7,Similar,2%,46%,52%,0%,46%,55%,61%,Lectura Crítica
311001002843,BOGOTÁ D.C.,COLEGIO INTERAMERICANO,60,Similar,9,Similar,0%,15%,51%,34%,28%,35%,37%,Lectura Crítica
311769000661,BOGOTÁ D.C.,COLEGIO AGUSTINIANO SUBA,64,Similar,7,Similar,0%,5%,52%,43%,22%,28%,33%,Lectura Crítica
311848000782,BOGOTÁ D.C.,GIMNASIO LOS PINOS,67,Menor,7,Similar,0%,0%,40%,60%,17%,26%,24%,Lectura Crítica
111001100072,BOGOTÁ D.C.,COLEGIO SANTIAGO DE LAS ATALAYAS (IED),60,Similar,9,Similar,0%,15%,54%,31%,27%,36%,39%,Lectura Crítica
211850001171,BOGOTÁ D.C.,COLEGIO RUR QUIBA ALTA (IED),49,Mayor,7,Similar,0%,60%,39%,1%,49%,56%,59%,Lectura Crítica
311001050023,BOGOTÁ D.C.,COLEGIO DE EDUCACION TECNICA Y ACADEMICA CELESTIN FREINET,62,Similar,9,Similar,0%,9%,53%,38%,24%,32%,35%,Lectura Crítica
311001004528,BOGOTÁ D.C.,LIC DE CERVANTES EL RETIRO,65,Menor,7,Similar,0%,0%,50%,50%,25%,24%,31%,Lectura Crítica
311001043876,BOGOTÁ D.C.,LICEO MAYOR DE PALERMO,47,Mayor,9,Similar,13%,47%,40%,0%,45%,57%,61%,Lectura Crítica
311001033676,BOGOTÁ D.C.,COLEGIO BILINGÜE LA ENSEÑANZA,65,Menor,8,Similar,0%,5%,45%,50%,19%,29%,29%,Lectura Crítica
311001001049,BOGOTÁ D.C.,COLEGIO EL CARMEN TERESIANO,65,Menor,10,Similar,0%,8%,45%,47%,23%,28%,32%,Lectura Crítica
311001076677,BOGOTÁ D.C.,COLEGIO NUEVA CIENCIA,57,Similar,10,Similar,4%,19%,58%,19%,32%,40%,43%,Lectura Crítica
311769000823,BOGOTÁ D.C.,COL HISPANOAMERICANO CONDE ANSUREZ,70,Menor,7,Similar,0%,0%,21%,79%,16%,18%,20%,Lectura Crítica
311848000499,BOGOTÁ D.C.,FUND EDUC ANA RESTREPO DEL CORRAL,57,Similar,10,Similar,0%,30%,48%,21%,30%,44%,46%,Lectura Crítica
111001075272,BOGOTÁ D.C.,COLEGIO NUEVA COLOMBIA (IED),51,Similar,9,Similar,4%,45%,45%,6%,43%,52%,54%,Lectura Crítica
311102001244,BOGOTÁ D.C.,LICEO ALFREDO NOBEL,60,Similar,8,Similar,1%,13%,60%,26%,27%,37%,38%,Lectura Crítica
311001019568,BOGOTÁ D.C.,LIC FRANCES LOUIS PASTEUR,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Lectura Crítica
311001107645,BOGOTÁ D.C.,COLEGIO BILINGÜE SAN JUAN DE ÁVILA,64,Similar,8,Similar,0%,2%,53%,44%,18%,29%,33%,Lectura Crítica
311001076685,BOGOTÁ D.C.,INSTITUTO LEONARD EULER,56,Similar,10,Similar,0%,25%,67%,8%,31%,48%,45%,Lectura Crítica
311001108218,BOGOTÁ D.C.,GIMN ISRAEL,56,Similar,9,Similar,0%,25%,64%,11%,35%,47%,43%,Lectura Crítica
31176900201,BOGOTÁ D.C.,CENT EDUC SAGRADA FAMILIA DE NAZARETH,62,Similar,8,Similar,0%,8%,62%,29%,26%,33%,37%,Lectura Crítica
311001105863,BOGOTÁ D.C.,CENTRO JOHANN KEPLER,47,Mayor,8,Similar,6%,61%,31%,2%,51%,59%,60%,Lectura Crítica
311001109206,BOGOTÁ D.C.,LICEO SAN RAFAEL DE ALICANTE,55,Similar,9,Similar,0%,31%,53%,16%,38%,46%,43%,Lectura Crítica
111001075663,BOGOTÁ D.C.,COLEGIO ESTRELLA DEL SUR (IED),50,Similar,11,Similar,3%,45%,47%,5%,43%,50%,57%,Lectura Crítica
311001087253,BOGOTÁ D.C.,GIMNASIO LA CIMA,60,Similar,10,Similar,0%,11%,51%,37%,25%,38%,37%,Lectura Crítica
111001030856,BOGOTÁ D.C.,COLEGIO PANAMERICANO (IED),52,Similar,11,Similar,0%,50%,36%,14%,41%,53%,47%,Lectura Crítica
11100103083,BOGOTÁ D.C.,COLEGIO UNION EUROPEA (IED),51,Similar,9,Similar,6%,39%,49%,6%,41%,54%,54%,Lectura Crítica
111001009521,BOGOTÁ D.C.,COLEGIO ROBERT F. KENNEDY (IED),56,Similar,8,Similar,1%,24%,62%,13%,34%,45%,44%,Lectura Crítica
311850000111,BOGOTÁ D.C.,COLEGIO MONSEÑOR BERNARDO SANCHEZ HERMANAS DE NUESTRA SEÑORA DE LA PAZ,58,Similar,9,Similar,0%,17%,63%,20%,30%,38%,42%,Lectura Crítica
311001091862,BOGOTÁ D.C.,COLEGIO DE ADMINISTRACION ROBERT OWEN,53,Similar,8,Similar,3%,30%,59%,8%,36%,50%,53%,Lectura Crítica
111279000966,BOGOTÁ D.C.,COLEGIO INTEGRADO DE FONTIBON IBEP  (IED),52,Similar,10,Similar,4%,38%,50%,8%,42%,51%,52%,Lectura Crítica
11100103424,BOGOTÁ D.C.,COLEGIO NICOLÁS GÓMEZ DÁVILA (IED),54,Similar,8,Similar,1%,35%,55%,9%,40%,48%,50%,Lectura Crítica
311001035806,BOGOTÁ D.C.,LICEO NUEVA BRITALIA,53,Similar,8,Similar,3%,21%,71%,5%,37%,50%,53%,Lectura Crítica
311848000995,BOGOTÁ D.C.,COLEGIO CARDENAL SANCHA,64,Similar,8,Similar,0%,4%,47%,49%,19%,30%,31%,Lectura Crítica
111001078638,BOGOTÁ D.C.,COLEGIO EL VIRREY JOSE SOLIS (IED),52,Similar,7,Similar,1%,47%,49%,3%,41%,49%,54%,Lectura Crítica
311001003271,BOGOTÁ D.C.,COLEGIO EUCARISTICO,65,Menor,7,Similar,0%,5%,41%,54%,21%,24%,29%,Lectura Crítica
111001010421,BOGOTÁ D.C.,COLEGIO JORGE ELIECER GAITAN  (IED),58,Similar,8,Similar,0%,20%,62%,18%,30%,43%,42%,Lectura Crítica
111001018341,BOGOTÁ D.C.,COLEGIO FRANCISCO JAVIER MATIZ (IED),53,Similar,9,Similar,4%,35%,51%,10%,40%,50%,51%,Lectura Crítica
111001012483,BOGOTÁ D.C.,COLEGIO TABORA  (IED),56,Similar,9,Similar,3%,26%,53%,18%,34%,44%,45%,Lectura Crítica
311001004846,BOGOTÁ D.C.,COLEGIO BILINGÜE JOSE ALLAMANO,66,Menor,7,Similar,1%,2%,48%,49%,20%,25%,28%,Lectura Crítica
111848002107,BOGOTÁ D.C.,LIC DEL EJERCITO PATRIA SECTOR NORTE B (LIC COLOMBIA)                                               ,67,Menor,7,Similar,0%,0%,29%,71%,17%,22%,24%,Lectura Crítica
411001086561,BOGOTÁ D.C.,LICEO MARANATA,58,Similar,7,Similar,0%,18%,71%,11%,31%,43%,39%,Lectura Crítica
311769001757,BOGOTÁ D.C.,COL BENPOSTA NACION DE MUCHACHOS,50,Similar,7,Similar,0%,50%,50%,0%,42%,57%,54%,Lectura Crítica
111001029955,BOGOTÁ D.C.,COLEGIO AGUSTIN FERNANDEZ (IED),52,Similar,10,Similar,4%,39%,47%,9%,40%,51%,54%,Lectura Crítica
111001034045,BOGOTÁ D.C.,COLEGIO LA FLORESTA SUR (IED),52,Similar,9,Similar,3%,42%,47%,8%,39%,49%,54%,Lectura Crítica
211850001481,BOGOTÁ D.C.,COLEGIO FABIO LOZANO SIMONELLI (IED),53,Similar,10,Similar,2%,40%,47%,12%,40%,49%,50%,Lectura Crítica
311848003463,BOGOTÁ D.C.,COLEGIO DE LAS RR ESCLAVAS DEL SAGRADO CORAZON DE JESUS,64,Similar,8,Similar,0%,7%,40%,53%,18%,29%,33%,Lectura Crítica
111102000753,BOGOTÁ D.C.,COLEGIO FERNANDO MAZUERA VILLEGAS (IED),55,Similar,8,Similar,1%,29%,63%,8%,35%,47%,47%,Lectura Crítica
11100101236,BOGOTÁ D.C.,COLEGIO EL JAPON (IED),54,Similar,9,Similar,1%,34%,55%,10%,36%,48%,48%,Lectura Crítica
111001086789,BOGOTÁ D.C.,COLEGIO RAFAEL NUÑEZ  (IED),55,Similar,7,Similar,0%,22%,66%,13%,33%,47%,48%,Lectura Crítica
311001065284,BOGOTÁ D.C.,LICEO CULTURAL LAS AMERICAS,61,Similar,7,Similar,0%,4%,63%,33%,25%,37%,33%,Lectura Crítica
111001000124,BOGOTÁ D.C.,COLEGIO CARLOS ARANGO VELEZ (IED),55,Similar,9,Similar,2%,29%,59%,10%,35%,47%,49%,Lectura Crítica
111850001461,BOGOTÁ D.C.,COLEGIO LOS TEJARES (IED),50,Similar,7,Similar,2%,53%,42%,2%,44%,54%,52%,Lectura Crítica
311001000506,BOGOTÁ D.C.,COLEGIO CALASANZ LA ESMERALDA ESCOLAPIAS,64,Similar,7,Similar,0%,6%,49%,45%,21%,31%,34%,Lectura Crítica
311001101396,BOGOTÁ D.C.,LICEO NORMANDIA,59,Similar,6,Mayor,0%,8%,85%,8%,28%,35%,44%,Lectura Crítica
311279000906,BOGOTÁ D.C.,INSTITUTO LA ANUNCIACION,60,Similar,9,Similar,0%,16%,55%,29%,25%,37%,39%,Lectura Crítica
311001093041,BOGOTÁ D.C.,INST PEDAG PARA EL DESARROLLO INTEGRAL CREAR,62,Similar,8,Similar,0%,9%,52%,39%,22%,35%,37%,Lectura Crítica
111001012271,BOGOTÁ D.C.,COLEGIO RAFAEL URIBE URIBE (IED),57,Similar,8,Similar,0%,18%,67%,14%,32%,42%,45%,Lectura Crítica
311001000379,BOGOTÁ D.C.,COLEGIO NUESTRA SEÑORA DE LAS VICTORIAS,58,Similar,10,Similar,3%,13%,57%,27%,34%,36%,44%,Lectura Crítica
111001030015,BOGOTÁ D.C.,COLEGIO ENRIQUE OLAYA HERRERA (IED),54,Similar,9,Similar,1%,32%,59%,7%,37%,49%,49%,Lectura Crítica
311001004064,BOGOTÁ D.C.,COL JAIME QUIJANO CABALLERO,57,Similar,10,Similar,2%,22%,57%,18%,33%,43%,43%,Lectura Crítica
311001045437,BOGOTÁ D.C.,COLEGIO INTEGRAL AVANCEMOS,57,Similar,9,Similar,4%,17%,58%,21%,31%,41%,41%,Lectura Crítica
311001077541,BOGOTÁ D.C.,COLEGIO CRISTIANO DE COLOMBIA,60,Similar,7,Similar,0%,8%,68%,24%,27%,35%,40%,Lectura Crítica
31100100109,BOGOTÁ D.C.,COLEGIO DE LA UNIVERSIDAD LIBRE,65,Menor,9,Similar,0%,3%,49%,47%,22%,27%,29%,Lectura Crítica
111001016101,BOGOTÁ D.C.,COLEGIO LOS PERIODISTAS (IED),58,Similar,8,Similar,2%,13%,74%,11%,30%,41%,44%,Lectura Crítica
111001104329,BOGOTÁ D.C.,COLEGIO CARLOS PIZARRO LEON GOMEZ (IED),53,Similar,9,Similar,3%,37%,53%,7%,39%,51%,51%,Lectura Crítica
111001107778,BOGOTÁ D.C.,COLEGIO SALUDCOOP SUR (IED),54,Similar,9,Similar,2%,34%,54%,11%,36%,49%,50%,Lectura Crítica
311001000697,BOGOTÁ D.C.,LICEO LATINOAMERICANO,63,Similar,6,Mayor,0%,0%,69%,31%,22%,29%,34%,Lectura Crítica
311001041806,BOGOTÁ D.C.,LICEO SAMARIO,63,Similar,8,Similar,0%,7%,56%,37%,20%,31%,36%,Lectura Crítica
311001000387,BOGOTÁ D.C.,COLEGIO MIXTO VILLA CAROLINA,57,Similar,10,Similar,0%,30%,52%,18%,35%,41%,44%,Lectura Crítica
111001102059,BOGOTÁ D.C.,COLEGIO UNION COLOMBIA (IED),54,Similar,10,Similar,6%,30%,49%,15%,40%,45%,50%,Lectura Crítica
311001004897,BOGOTÁ D.C.,COLEGIO NUESTRA SEÑORA DE FATIMA POLINAL,61,Similar,8,Similar,1%,9%,61%,29%,26%,36%,39%,Lectura Crítica
311001050317,BOGOTÁ D.C.,CENTRO EDUCATIVO LOS ANDES,59,Similar,8,Similar,0%,12%,67%,21%,31%,38%,40%,Lectura Crítica
111001102008,BOGOTÁ D.C.,COLEGIO JUAN LUIS LONDOÑO (IED),58,Similar,8,Similar,0%,21%,64%,15%,32%,40%,45%,Lectura Crítica
111001018325,BOGOTÁ D.C.,COLEGIO JOSE JOAQUIN CASTRO MARTINEZ (IED),50,Similar,9,Similar,6%,43%,49%,2%,42%,55%,53%,Lectura Crítica
311001016933,BOGOTÁ D.C.,COLEGIO MI PATRIA,57,Similar,8,Similar,0%,21%,71%,8%,35%,41%,48%,Lectura Crítica
311001033391,BOGOTÁ D.C.,COLEGIO MADRE PAULA MONTAL,57,Similar,8,Similar,0%,21%,57%,21%,31%,41%,45%,Lectura Crítica
111001010839,BOGOTÁ D.C.,COLEGIO EXTERNADO NACIONAL CAMILO TORRES (IED),55,Similar,9,Similar,0%,35%,47%,18%,35%,46%,45%,Lectura Crítica
111001011029,BOGOTÁ D.C.,COLEGIO REINO DE HOLANDA (IED),57,Similar,9,Similar,1%,18%,68%,13%,32%,42%,44%,Lectura Crítica
311001011532,BOGOTÁ D.C.,COLEGIO NUESTRA SEÑORA DE LA PAZ,59,Similar,7,Similar,0%,5%,71%,24%,31%,37%,40%,Lectura Crítica
311001044783,BOGOTÁ D.C.,LICEO PSICOPEDAGOGICO TIBABITA,57,Similar,8,Similar,0%,10%,77%,13%,34%,43%,42%,Lectura Crítica
111001102091,BOGOTÁ D.C.,INSTITUCION EDUCATIVA DISTRITAL COLOMBIA VIVA,52,Similar,8,Similar,1%,44%,49%,5%,37%,51%,55%,Lectura Crítica
311001032165,BOGOTÁ D.C.,GIMNASIO CAMPESTRE STEPHEN HAWKING,62,Similar,9,Similar,0%,13%,50%,38%,18%,31%,38%,Lectura Crítica
311001032131,BOGOTÁ D.C.,COLEGIO NUESTRA SEÑORA DE LORETO,56,Similar,8,Similar,0%,20%,70%,10%,30%,42%,52%,Lectura Crítica
111001107867,BOGOTÁ D.C.,COLEGIO KIMI PERNIA DOMICO,54,Similar,9,Similar,1%,34%,56%,10%,39%,48%,49%,Lectura Crítica
31100103348,BOGOTÁ D.C.,COLEGIO LAZARILLO DE TORMES,56,Similar,7,Similar,0%,21%,71%,8%,33%,45%,45%,Lectura Crítica
111850001037,BOGOTÁ D.C.,LIC DEL EJERCITO PATRIA SECTOR SUR C (SANTA BARBARA),65,Menor,6,Mayor,0%,0%,50%,50%,21%,24%,32%,Lectura Crítica
311001000891,BOGOTÁ D.C.,COLEGIO INTEGRAL ERVID,58,Similar,8,Similar,0%,17%,78%,6%,35%,38%,44%,Lectura Crítica
311001001707,BOGOTÁ D.C.,COLEGIO CENTRO LESTONNAC COMPAÑIA DE MARIA,61,Similar,8,Similar,0%,4%,72%,24%,26%,36%,35%,Lectura Crítica
311001093831,BOGOTÁ D.C.,COL CRISTIANO KABOD,62,Similar,8,Similar,0%,5%,68%,27%,22%,32%,37%,Lectura Crítica
111001102016,BOGOTÁ D.C.,COLEGIO ALDEMAR ROJAS PLAZAS (CED),56,Similar,9,Similar,1%,31%,54%,14%,33%,46%,46%,Lectura Crítica
311001040401,BOGOTÁ D.C.,COL DE FORMACION INTEGRAL MUNDO NUEVO,59,Similar,8,Similar,0%,13%,63%,25%,27%,35%,46%,Lectura Crítica
311001109427,BOGOTÁ D.C.,FUNDACIÓN EDUCATIVA PARA LA VIDA  - FUNDESCO,47,Mayor,9,Similar,15%,46%,38%,0%,50%,59%,62%,Lectura Crítica
311001087148,BOGOTÁ D.C.,COL REMBRANDT,54,Similar,11,Similar,2%,39%,39%,20%,36%,49%,49%,Lectura Crítica
311001109419,BOGOTÁ D.C.,INSTITUTO DE EDUCACIÓN FORMAL DE ADULTOS EL PENSAMIENTO DE PITÁGORAS,46,Mayor,9,Similar,7%,62%,30%,1%,51%,61%,63%,Lectura Crítica
311001106177,BOGOTÁ D.C.,INSTITUTO ANDRE MICHELIN,50,Similar,10,Similar,9%,43%,40%,9%,44%,54%,57%,Lectura Crítica
311001005681,BOGOTÁ D.C.,COLEGIO ATENIENSE,55,Similar,9,Similar,0%,29%,60%,12%,38%,44%,45%,Lectura Crítica
11100101169,BOGOTÁ D.C.,COLEGIO LA AMISTAD (IED),52,Similar,10,Similar,5%,36%,54%,5%,43%,52%,52%,Lectura Crítica
311001089795,BOGOTÁ D.C.,LICEO EL ENCUENTRO,68,Menor,9,Similar,0%,0%,40%,60%,17%,21%,27%,Lectura Crítica
311001047502,BOGOTÁ D.C.,GIMN MIX MANUEL DEL SOCORRO RODRIGUEZ,63,Similar,8,Similar,0%,3%,49%,49%,18%,33%,35%,Lectura Crítica
311001076031,BOGOTÁ D.C.,COLEGIO WESLEYANO DEL NORTE,62,Similar,7,Similar,0%,8%,57%,35%,25%,33%,36%,Lectura Crítica
111001104299,BOGOTÁ D.C.,COLEGIO ALFONSO REYES ECHANDIA (IED),56,Similar,8,Similar,1%,20%,68%,12%,32%,43%,47%,Lectura Crítica
111769004188,BOGOTÁ D.C.,COLEGIO HUNZA (IED),53,Similar,10,Similar,1%,47%,41%,12%,39%,49%,51%,Lectura Crítica
311279000426,BOGOTÁ D.C.,COL SANTA TERESA DE JESUS,63,Similar,8,Similar,0%,6%,60%,35%,24%,30%,34%,Lectura Crítica
311265000369,BOGOTÁ D.C.,COL ADVENTISTA DEL NORTE,63,Similar,6,Mayor,0%,2%,60%,38%,22%,31%,35%,Lectura Crítica
111001001279,BOGOTÁ D.C.,COLEGIO DARIO ECHANDIA (IED),54,Similar,9,Similar,2%,33%,55%,10%,37%,46%,49%,Lectura Crítica
311001010781,BOGOTÁ D.C.,COLEGIO CALASANZ,68,Menor,7,Similar,0%,3%,30%,67%,15%,23%,23%,Lectura Crítica
311001089981,BOGOTÁ D.C.,INST GUSTAVO ADOLFO BECQUER,68,Menor,0,Mayor,0%,0%,0%,100%,20%,15%,27%,Lectura Crítica
311769000734,BOGOTÁ D.C.,COLEGIO STELLA MATUTINA,63,Similar,9,Similar,0%,8%,42%,50%,19%,35%,32%,Lectura Crítica
311001041857,BOGOTÁ D.C.,COLEGIO NUESTRA SEÑORA DE LA SALETTE,64,Similar,6,Mayor,0%,4%,59%,37%,18%,32%,31%,Lectura Crítica
111265000017,BOGOTÁ D.C.,COLEGIO LA PALESTINA (IED),60,Similar,7,Similar,0%,12%,60%,28%,26%,37%,38%,Lectura Crítica
311001047723,BOGOTÁ D.C.,CENTRO DE PROMOCION SAN JOSE,48,Mayor,9,Similar,0%,67%,33%,0%,46%,57%,66%,Lectura Crítica
311001091595,BOGOTÁ D.C.,COL TRIANGULO KENNEDY,56,Similar,5,Mayor,0%,0%,100%,0%,21%,58%,45%,Lectura Crítica
311001016607,BOGOTÁ D.C.,COL MANDALAY,56,Similar,7,Similar,0%,19%,78%,4%,26%,47%,53%,Lectura Crítica
311769000726,BOGOTÁ D.C.,LICEO SEGOVIA,63,Similar,9,Similar,0%,7%,47%,45%,23%,31%,33%,Lectura Crítica
111001013374,BOGOTÁ D.C.,COLEGIO ESCUELA NACIONAL DE COMERCIO (IED),52,Similar,7,Similar,2%,42%,54%,2%,42%,50%,55%,Lectura Crítica
311001088047,BOGOTÁ D.C.,INSTITUTO COPESAL,61,Similar,7,Similar,0%,7%,67%,27%,29%,36%,33%,Lectura Crítica
11185000138,BOGOTÁ D.C.,COLEGIO EL CORTIJO - VIANEY (IED),51,Similar,9,Similar,4%,53%,35%,8%,44%,52%,54%,Lectura Crítica
311265001152,BOGOTÁ D.C.,INSTITUTO MAYEUTICO,59,Similar,8,Similar,0%,18%,64%,18%,26%,38%,37%,Lectura Crítica
311001105391,BOGOTÁ D.C.,COLEGIO TECNISISTEMAS,51,Similar,13,Similar,10%,50%,20%,20%,45%,56%,51%,Lectura Crítica
311001107599,BOGOTÁ D.C.,COLEGIO RETOS,59,Similar,9,Similar,0%,0%,67%,33%,42%,28%,44%,Lectura Crítica
311001109664,BOGOTÁ D.C.,COLEGIO MONTERROSALES,59,Similar,9,Similar,0%,19%,59%,22%,30%,40%,41%,Lectura Crítica
311001106673,BOGOTÁ D.C.,INSTITUTO FORMATES,48,Mayor,6,Mayor,0%,62%,38%,0%,47%,60%,59%,Lectura Crítica
311001105421,BOGOTÁ D.C.,INSTITUTO NUEVA COLOMBIA,38,Mayor,7,Similar,50%,50%,0%,0%,79%,63%,74%,Lectura Crítica
211102000995,BOGOTÁ D.C.,COLEGIO BOSANOVA (IED),54,Similar,9,Similar,1%,31%,54%,14%,39%,48%,48%,Lectura Crítica
311001104786,BOGOTÁ D.C.,COLEGIO BRITANICO SEDE TUNJUELITO,41,Mayor,0,Mayor,0%,100%,0%,0%,78%,73%,64%,Lectura Crítica
31100104788,BOGOTÁ D.C.,UNID EDUC EL FUTURO DEL MAÑANA,58,Similar,7,Similar,0%,11%,68%,21%,27%,39%,43%,Lectura Crítica
311001106711,BOGOTÁ D.C.,COLEGIO BOSTON (ANTIGUO COL EDUC SAN MATEO),58,Similar,12,Similar,0%,33%,40%,27%,32%,40%,43%,Lectura Crítica
311001094942,BOGOTÁ D.C.,CENT DE EDUC FORMAL ROBERT HOOKE,50,Similar,11,Similar,0%,50%,50%,0%,50%,59%,55%,Lectura Crítica
311001109001,BOGOTÁ D.C.,INSTITUTO POPULAR BOLIVARIANO,44,Mayor,8,Similar,8%,83%,8%,0%,61%,64%,65%,Lectura Crítica
311001105448,BOGOTÁ D.C.,CENT DE EDUC DE ADULTOS CULTURAL,47,Mayor,9,Similar,10%,55%,32%,3%,51%,59%,62%,Lectura Crítica
311001051291,BOGOTÁ D.C.,NUEVO INSTITUTO SAN MIGUEL,52,Similar,13,Similar,0%,33%,67%,0%,37%,52%,60%,Lectura Crítica
311001109711,BOGOTÁ D.C.,COLEGIO CIES,52,Similar,7,Similar,0%,25%,75%,0%,49%,49%,55%,Lectura Crítica
31100100207,BOGOTÁ D.C.,COLEGIO JORDAN DE SAJONIA,66,Menor,8,Similar,0%,3%,46%,51%,19%,27%,29%,Lectura Crítica
311001002282,BOGOTÁ D.C.,INSTITUTO FELIX RESTREPO,57,Similar,6,Mayor,0%,29%,57%,14%,28%,42%,49%,Lectura Crítica
111001016039,BOGOTÁ D.C.,COLEGO ORLANDO FALS BORDA (ANTES BARRANQUILLITA) (IED),54,Similar,9,Similar,1%,33%,56%,10%,39%,50%,47%,Lectura Crítica
211769003151,BOGOTÁ D.C.,COLEGIO NICOLAS BUENAVENTURA (ANTES CHORRILLOS) (IED),55,Similar,9,Similar,1%,28%,60%,11%,36%,45%,49%,Lectura Crítica
311001016631,BOGOTÁ D.C.,LICEO ATENEO COMERCIAL,57,Similar,4,Mayor,0%,0%,100%,0%,33%,43%,47%,Lectura Crítica
311001008523,BOGOTÁ D.C.,GIMN MILIT FUERZA AEREA DE COLOMBIA,62,Similar,8,Similar,0%,6%,57%,38%,23%,30%,37%,Lectura Crítica
211850001121,BOGOTÁ D.C.,COLEGIO RUR PASQUILLA (IED),54,Similar,8,Similar,2%,40%,53%,5%,34%,46%,52%,Lectura Crítica
311001092222,BOGOTÁ D.C.,COLEGIO VAN LEEUWENHOEK,53,Similar,9,Similar,4%,32%,64%,0%,40%,48%,52%,Lectura Crítica
111001034011,BOGOTÁ D.C.,COLEGIO JUAN REY (IED),50,Similar,9,Similar,2%,51%,42%,5%,44%,55%,56%,Lectura Crítica
211001027485,BOGOTÁ D.C.,COLEGIO EL VERJON (IED),47,Mayor,10,Similar,17%,39%,44%,0%,48%,56%,59%,Lectura Crítica
