codigo_dane,pai_et_municipios,establecimientos_educativos,promedio,comparacion_psyc,desviacion,comparacion_dsyc,desempeno_1,desempeno_2,desempeno_3,desempeno_4,aprendizaje_1,aprendizaje_2,aprendizaje_3,aprendizaje_4,aprendizaje_5,aprendizaje_6,Competencia
105001026671,MEDELLÍN,INST EDUC BARRIO SAN NICOLAS,47,Similar,10,Similar,28%,52%,21%,0%,33%,57%,65%,75%,56%,71%,Sociales y Ciudadanas
105001026719,MEDELLÍN,INSTITUCIÓN EDUCATIVA RODRIGO ARENAS BETANCUR,46,Similar,11,Similar,33%,54%,10%,3%,41%,63%,61%,47%,55%,63%,Sociales y Ciudadanas
105001026603,MEDELLÍN,INST EDUC ALTAVISTA,46,Similar,10,Similar,43%,33%,19%,5%,42%,66%,62%,56%,58%,37%,Sociales y Ciudadanas
105001026701,MEDELLÍN,INSTITUCION EDUCATIVA PROGRESAR,47,Similar,10,Similar,24%,56%,19%,1%,43%,60%,63%,60%,61%,61%,Sociales y Ciudadanas
105001026662,MEDELLÍN,INST EDUC LA PASTORA,51,Similar,11,Similar,21%,40%,31%,7%,33%,50%,49%,82%,62%,60%,Sociales y Ciudadanas
105001026689,MEDELLÍN,INST EDUC BLANQUIZAL,43,Similar,10,Similar,42%,48%,8%,2%,50%,59%,63%,65%,65%,62%,Sociales y Ciudadanas
105001026654,MEDELLÍN,INSTITUCION EDUCATIVA EL PLAYON,44,Similar,9,Similar,37%,56%,7%,0%,51%,68%,74%,86%,52%,64%,Sociales y Ciudadanas
305001019819,MEDELLÍN,COL SAPIENCIA,63,Menor,10,Similar,0%,20%,60%,20%,31%,27%,35%,50%,28%,10%,Sociales y Ciudadanas
105001026549,MEDELLÍN,INST EDUC BELLO ORIENTE,42,Similar,9,Similar,42%,45%,13%,0%,51%,66%,64%,85%,54%,66%,Sociales y Ciudadanas
305001026262,MEDELLÍN,INST EDUC ANDREAS PETER HAURI,38,Mayor,8,Mayor,67%,33%,0%,0%,65%,73%,76%,75%,73%,43%,Sociales y Ciudadanas
305001800414,MEDELLÍN,COSMO SCHOOLS SEDE CANDELARIA,60,Menor,8,Mayor,0%,13%,88%,0%,12%,33%,41%,25%,39%,40%,Sociales y Ciudadanas
205002000611,ABEJORRAL,I. E. R. ZOILA DUQUE BAENA,44,Similar,10,Similar,48%,30%,22%,0%,49%,64%,64%,70%,63%,75%,Sociales y Ciudadanas
105002000047,ABEJORRAL,INSTITUCION EDUCATIVA FUNDACION CELIA DUQUE DE DUQUE,49,Similar,11,Similar,29%,39%,31%,0%,43%,56%,58%,54%,52%,53%,Sociales y Ciudadanas
105002000055,ABEJORRAL,I. E. MANUEL CANUTO RESTREPO,43,Similar,9,Similar,42%,44%,14%,0%,50%,68%,71%,40%,66%,59%,Sociales y Ciudadanas
205002000777,ABEJORRAL,INSTITUCIÓN EDUCATIVA RURAL PANTANILLO,50,Similar,11,Similar,22%,39%,33%,6%,38%,49%,63%,77%,59%,53%,Sociales y Ciudadanas
105002000161,ABEJORRAL,INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR DE ABEJORRAL,51,Similar,10,Similar,15%,51%,32%,2%,38%,52%,53%,59%,59%,54%,Sociales y Ciudadanas
105004000109,ABRIAQUÍ,INSTITUCION EDUCATIVA LA MILAGROSA,48,Similar,12,Similar,33%,44%,17%,6%,44%,62%,54%,50%,55%,44%,Sociales y Ciudadanas
105021000139,ALEJANDRÍA,I. E. PROCESA DELGADO,50,Similar,11,Similar,27%,39%,34%,0%,40%,56%,55%,68%,49%,46%,Sociales y Ciudadanas
10503000001,AMAGÁ,I. E. ESCUELA NORMAL SUPERIOR AMAGA,49,Similar,10,Similar,26%,47%,26%,1%,42%,54%,60%,55%,68%,54%,Sociales y Ciudadanas
205030000243,AMAGÁ,I. E. PASCUAL CORREA FLOREZ,43,Similar,10,Similar,40%,46%,14%,0%,55%,64%,67%,71%,60%,47%,Sociales y Ciudadanas
105030000028,AMAGÁ,I. E. SAN FERNANDO,51,Similar,11,Similar,18%,43%,34%,5%,33%,54%,58%,55%,55%,50%,Sociales y Ciudadanas
205030000111,AMAGÁ,INSTITUCION EDUCATIVA RURAL BELISARIO BETANCUR CUARTAS,42,Similar,11,Similar,55%,34%,11%,0%,54%,65%,63%,53%,65%,60%,Sociales y Ciudadanas
105031001583,AMALFI,I. E. PUEBLO NUEVO,46,Similar,11,Similar,32%,54%,11%,4%,38%,68%,66%,75%,51%,55%,Sociales y Ciudadanas
105031001516,AMALFI,I. E. EDUARDO FERNANDEZ BOTERO,49,Similar,12,Similar,24%,40%,33%,3%,39%,52%,56%,64%,51%,53%,Sociales y Ciudadanas
205031000191,AMALFI,I. E. R. PORTACHUELO,46,Similar,11,Similar,33%,33%,33%,0%,40%,64%,81%,N.D.,67%,50%,Sociales y Ciudadanas
105031000056,AMALFI,INSTITUCIÓN EDUCATIVA PRESBITERO GERARDO MONTOYA,43,Similar,10,Similar,45%,42%,12%,0%,46%,71%,64%,71%,68%,68%,Sociales y Ciudadanas
205034000256,ANDES,INSTITUCION EDUCATIVA SANTA RITA,47,Similar,9,Similar,23%,60%,16%,0%,42%,60%,61%,78%,64%,63%,Sociales y Ciudadanas
105034000278,ANDES,I. E. MARCO FIDEL SUAREZ,52,Similar,12,Similar,22%,34%,41%,3%,34%,52%,53%,67%,49%,44%,Sociales y Ciudadanas
10503400074,ANDES,INSTITUCION EDUCATIVA JUAN DE DIOS URIBE,46,Similar,10,Similar,41%,36%,23%,0%,51%,60%,64%,54%,69%,71%,Sociales y Ciudadanas
105034001207,ANDES,INSTITUCION EDUCATIVA MARIA AUXILIADORA,58,Menor,10,Similar,5%,35%,51%,10%,21%,38%,46%,39%,42%,49%,Sociales y Ciudadanas
205034000345,ANDES,I. E. FELIPE HENAO JARAMILLO,46,Similar,9,Similar,32%,41%,26%,0%,43%,62%,67%,68%,62%,67%,Sociales y Ciudadanas
205034000248,ANDES,INSTITUCION EDUCATIVA TAPARTO,49,Similar,10,Similar,19%,48%,32%,0%,48%,54%,56%,87%,63%,52%,Sociales y Ciudadanas
105034000014,ANDES,INSTITUCION EDUCATIVA SAN JUAN DE LOS ANDES,56,Similar,12,Similar,12%,37%,40%,12%,21%,40%,48%,50%,40%,39%,Sociales y Ciudadanas
205034001317,ANDES,I. E. SAN PERUCHITO,46,Similar,10,Similar,33%,44%,19%,4%,39%,63%,63%,73%,65%,52%,Sociales y Ciudadanas
205034000078,ANDES,INSTITUCIÓN EDUCATIVA RURAL CARBONERA,44,Similar,7,Mayor,26%,71%,3%,0%,47%,75%,69%,60%,61%,70%,Sociales y Ciudadanas
205034000329,ANDES,C. E. R. SANTA INES,47,Similar,9,Similar,28%,50%,22%,0%,49%,62%,54%,44%,59%,74%,Sociales y Ciudadanas
105036000097,ANGELÓPOLIS,INSTITUCION EDUCATIVA SAN JOSE,43,Similar,10,Similar,42%,44%,14%,0%,55%,62%,68%,77%,69%,62%,Sociales y Ciudadanas
205036000083,ANGELÓPOLIS,INSTITUCION EDUCATIVA LOS ANGELES,44,Similar,8,Mayor,29%,65%,6%,0%,47%,73%,58%,50%,68%,64%,Sociales y Ciudadanas
105038000019,ANGOSTURA,I. E. MARIANO DE JESUS EUSSE,45,Similar,11,Similar,45%,36%,17%,3%,46%,59%,61%,64%,58%,63%,Sociales y Ciudadanas
205038000439,ANGOSTURA,C. E. R. PAJARITO ARRIBA,39,Mayor,8,Mayor,58%,39%,4%,0%,55%,66%,71%,74%,71%,74%,Sociales y Ciudadanas
105040000212,ANORÍ,I. E. ANORI,44,Similar,11,Similar,43%,39%,18%,0%,47%,59%,62%,68%,65%,63%,Sociales y Ciudadanas
205040001434,ANORÍ,I.E.R LA CRISTALINA,37,Mayor,8,Mayor,73%,24%,2%,0%,66%,75%,73%,80%,72%,71%,Sociales y Ciudadanas
305042000707,SANTA FÉ DE ANTIOQUIA,INSTITUTO ARQUIDIOCESANO URBANO Y RURAL -IAUR-,58,Menor,11,Similar,9%,18%,55%,18%,15%,34%,47%,50%,38%,58%,Sociales y Ciudadanas
105042000732,SANTA FÉ DE ANTIOQUIA,I. E. ARTURO VELASQUEZ ORTIZ,48,Similar,12,Similar,33%,40%,22%,5%,42%,55%,55%,55%,63%,62%,Sociales y Ciudadanas
10504200018,SANTA FÉ DE ANTIOQUIA,I. E. SAN LUIS GONZAGA,47,Similar,9,Similar,23%,53%,24%,0%,46%,61%,59%,63%,60%,60%,Sociales y Ciudadanas
205042000281,SANTA FÉ DE ANTIOQUIA,I. E. R. NURQUI,40,Mayor,7,Mayor,56%,44%,0%,0%,55%,66%,68%,73%,76%,55%,Sociales y Ciudadanas
205042000508,SANTA FÉ DE ANTIOQUIA,I. E. R. OGOSCO,39,Mayor,7,Mayor,68%,29%,2%,0%,65%,69%,69%,84%,72%,72%,Sociales y Ciudadanas
205042000354,SANTA FÉ DE ANTIOQUIA,C. E. R. EL PESCADO,39,Mayor,10,Similar,65%,28%,8%,0%,63%,74%,68%,75%,64%,74%,Sociales y Ciudadanas
205044000017,ANZÁ,I. E. R. ASCENSION MONTOYA DE TORRES,48,Similar,13,Similar,37%,37%,19%,7%,40%,60%,58%,64%,66%,31%,Sociales y Ciudadanas
105044000128,ANZÁ,I. E. ANZA,43,Similar,12,Similar,53%,32%,16%,0%,46%,72%,67%,70%,66%,77%,Sociales y Ciudadanas
205051001347,ARBOLETES,INSTITUCION EDUCATIVA RURAL BUENOS AIRES,36,Mayor,6,Mayor,70%,30%,0%,0%,62%,74%,72%,60%,61%,75%,Sociales y Ciudadanas
205051002238,ARBOLETES,INSTITUCION EDUCATIVA RURAL LA TRINIDAD,43,Similar,8,Mayor,36%,64%,0%,0%,57%,67%,64%,62%,55%,52%,Sociales y Ciudadanas
105051000508,ARBOLETES,I. E. JOSE MANUEL RESTREPO,43,Similar,10,Similar,44%,46%,11%,0%,52%,64%,64%,77%,69%,62%,Sociales y Ciudadanas
205051001959,ARBOLETES,INSTITUCION EDUCATIVA RURAL LA CANDELARIA,43,Similar,7,Mayor,39%,54%,7%,0%,49%,67%,65%,55%,65%,60%,Sociales y Ciudadanas
205051000081,ARBOLETES,I. E. R. PAJILLAL,39,Mayor,4,Mayor,59%,41%,0%,0%,49%,72%,70%,71%,64%,88%,Sociales y Ciudadanas
205051001339,ARBOLETES,I. E. R. EL CARMELO,42,Similar,10,Similar,67%,17%,17%,0%,60%,56%,61%,62%,63%,68%,Sociales y Ciudadanas
205051002696,ARBOLETES,INSTITUCION EDUCATIVA RURAL SANTA FE DE LAS PLATAS,39,Mayor,8,Mayor,63%,34%,3%,0%,59%,69%,69%,81%,74%,74%,Sociales y Ciudadanas
2050510027,ARBOLETES,I. E. R. GUADUAL ARRIBA,39,Mayor,8,Mayor,55%,43%,2%,0%,52%,71%,71%,61%,75%,79%,Sociales y Ciudadanas
105051000028,ARBOLETES,INSTITUCION EDUCATIVA MIGUEL VICENTE GARRIDO ORTIZ,48,Similar,10,Similar,30%,47%,22%,2%,42%,60%,59%,56%,57%,57%,Sociales y Ciudadanas
205051002467,ARBOLETES,I. E. R. BAJO LA ARENOSA,38,Mayor,7,Mayor,79%,17%,4%,0%,54%,70%,74%,78%,70%,86%,Sociales y Ciudadanas
405051007999,ARBOLETES,I. E. R. INDIGENA EL CANIME,38,Mayor,7,Mayor,59%,41%,0%,0%,68%,67%,72%,78%,62%,85%,Sociales y Ciudadanas
105055000022,ARGELIA,I. E. SANTA TERESA,43,Similar,10,Similar,46%,37%,17%,0%,50%,66%,65%,68%,65%,67%,Sociales y Ciudadanas
205055000281,ARGELIA,I. E. R. PRESBITERO MARIO ANGEL,41,Mayor,9,Similar,58%,32%,11%,0%,62%,68%,66%,86%,57%,73%,Sociales y Ciudadanas
105059000116,ARMENIA,INSTITUCION EDUCATIVA ROSA MESA DE MEJIA,49,Similar,10,Similar,24%,48%,28%,0%,36%,52%,57%,50%,69%,52%,Sociales y Ciudadanas
105079000406,BARBOSA,I. E. PRESBITERO LUIS EDUARDO PEREZ MOLINA,46,Similar,12,Similar,40%,36%,21%,3%,46%,59%,59%,56%,59%,59%,Sociales y Ciudadanas
205079000346,BARBOSA,INSTITUCIÓN EDUCATIVA RURAL EL TABLAZO,45,Similar,12,Similar,45%,32%,20%,2%,45%,61%,64%,59%,60%,52%,Sociales y Ciudadanas
205079000885,BARBOSA,INSTITUCIÓN EDUCATIVA RURAL EL HATILLO,44,Similar,9,Similar,31%,62%,7%,0%,47%,64%,66%,74%,64%,77%,Sociales y Ciudadanas
205079000206,BARBOSA,INSTITUCIÓN EDUCATIVA RURAL YARUMITO,44,Similar,11,Similar,46%,32%,21%,0%,45%,58%,65%,69%,56%,69%,Sociales y Ciudadanas
3050790006,BARBOSA,COLEGIO COOPERATIVO SIMON BOLIVAR (P),53,Similar,9,Similar,6%,47%,47%,0%,34%,55%,55%,75%,53%,50%,Sociales y Ciudadanas
105079000082,BARBOSA,INSTITUCION EDUCATIVA LUIS EDUARDO ARIAS REINEL,47,Similar,10,Similar,27%,54%,19%,1%,42%,61%,58%,74%,62%,63%,Sociales y Ciudadanas
105079000015,BARBOSA,I. E. MANUEL JOSE CAICEDO,51,Similar,11,Similar,18%,50%,27%,5%,40%,51%,57%,44%,58%,49%,Sociales y Ciudadanas
205079000729,BARBOSA,I. E. R. BUGA,40,Mayor,9,Similar,52%,42%,6%,0%,54%,69%,69%,73%,62%,62%,Sociales y Ciudadanas
205086000033,BELMIRA,I. E. R.  LABORES,38,Mayor,6,Mayor,63%,37%,0%,0%,57%,75%,70%,64%,59%,84%,Sociales y Ciudadanas
10508600011,BELMIRA,INSTITUCION EDUCATIVA PRESBITERO RICARDO LUIS GUTIERREZ TOBON,48,Similar,12,Similar,25%,50%,22%,3%,53%,60%,65%,69%,60%,59%,Sociales y Ciudadanas
205086000092,BELMIRA,I. E. R. CARLOS GONZALEZ,42,Similar,8,Mayor,38%,59%,3%,0%,56%,70%,67%,79%,59%,66%,Sociales y Ciudadanas
105091000012,BETANIA,INSTITUCION EDUCATIVA PERLA DEL CITARA,45,Similar,10,Similar,35%,51%,14%,0%,55%,61%,63%,63%,65%,67%,Sociales y Ciudadanas
105093000109,BETULIA,I. E. SAN JOSE,44,Similar,10,Similar,42%,46%,11%,1%,49%,60%,62%,57%,63%,68%,Sociales y Ciudadanas
20509300026,BETULIA,I E FRANCISCO CESAR,45,Similar,10,Similar,33%,53%,15%,0%,56%,69%,60%,83%,54%,55%,Sociales y Ciudadanas
205093000413,BETULIA,I. E. R. LA SUCRE,40,Mayor,12,Similar,67%,20%,10%,3%,58%,62%,69%,57%,65%,69%,Sociales y Ciudadanas
205101000371,CIUDAD BOLÍVAR,I. E. R. LA ERMITA,51,Similar,4,Mayor,0%,100%,0%,0%,58%,74%,52%,100%,50%,75%,Sociales y Ciudadanas
205101000304,CIUDAD BOLÍVAR,I. E. R. JUAN TAMAYO,43,Similar,10,Similar,40%,50%,10%,0%,47%,69%,64%,75%,56%,57%,Sociales y Ciudadanas
105101000172,CIUDAD BOLÍVAR,I. E. MARIA AUXILIADORA,50,Similar,11,Similar,23%,45%,28%,4%,38%,57%,53%,70%,60%,54%,Sociales y Ciudadanas
105101000717,CIUDAD BOLÍVAR,I. E. JOSE MARIA HERRAN,50,Similar,11,Similar,25%,35%,40%,0%,50%,55%,55%,58%,57%,57%,Sociales y Ciudadanas
305101000597,CIUDAD BOLÍVAR,I.E. COLEGIO COOPERATIVO ALEJANDRINO RESTREPO,55,Similar,13,Similar,13%,38%,50%,0%,27%,41%,44%,75%,39%,67%,Sociales y Ciudadanas
105101000571,CIUDAD BOLÍVAR,I. E.  SAN JOSE DEL CITARA,47,Similar,9,Similar,31%,52%,17%,0%,35%,64%,67%,76%,66%,59%,Sociales y Ciudadanas
205101000355,CIUDAD BOLÍVAR,INSTITUCIÓN EDUCATIVA RURAL FARALLONES,49,Similar,10,Similar,21%,46%,32%,0%,53%,55%,64%,92%,57%,56%,Sociales y Ciudadanas
105107000166,BRICEÑO,INSTITUCION EDUCATIVA ANTONIO ROLDAN BETANCUR,42,Similar,11,Similar,48%,43%,5%,3%,50%,64%,66%,64%,57%,66%,Sociales y Ciudadanas
105113000071,BURITICÁ,I. E. SANTA GEMA,46,Similar,10,Similar,37%,41%,22%,0%,40%,60%,65%,58%,61%,51%,Sociales y Ciudadanas
205113000407,BURITICÁ,I. E. R. ADOLFO MORENO USUGA,40,Mayor,7,Mayor,50%,50%,0%,0%,61%,64%,66%,62%,70%,83%,Sociales y Ciudadanas
205120001435,CÁCERES,I. E. GASPAR DE RODAS,44,Similar,9,Similar,33%,53%,13%,0%,44%,63%,70%,55%,64%,66%,Sociales y Ciudadanas
205120000391,CÁCERES,I. E. PIAMONTE,40,Mayor,8,Mayor,53%,41%,6%,0%,50%,66%,70%,88%,71%,61%,Sociales y Ciudadanas
105120000345,CÁCERES,INSTITUCION EDUCATIVA MONSEÑOR GERARDO PATIÑO,48,Similar,11,Similar,27%,47%,24%,2%,42%,55%,55%,52%,53%,52%,Sociales y Ciudadanas
205120000366,CÁCERES,I. E. AURELIO MEJIA,43,Similar,11,Similar,50%,38%,13%,0%,62%,61%,70%,75%,66%,53%,Sociales y Ciudadanas
205120000081,CÁCERES,I. E. GUARUMO,39,Mayor,8,Mayor,56%,41%,2%,1%,57%,71%,68%,64%,66%,62%,Sociales y Ciudadanas
205120000315,CÁCERES,I. E. MANIZALES,40,Mayor,7,Mayor,57%,43%,0%,0%,67%,66%,62%,67%,63%,100%,Sociales y Ciudadanas
205120001346,CÁCERES,I.E.R LA VICTORIA,37,Mayor,6,Mayor,83%,17%,0%,0%,81%,75%,72%,100%,72%,83%,Sociales y Ciudadanas
105125000254,CAICEDO,I. E. SAN JUAN BOSCO,48,Similar,11,Similar,31%,40%,26%,2%,49%,60%,55%,60%,48%,45%,Sociales y Ciudadanas
205125000062,CAICEDO,I. E. R. EL HATO,44,Similar,11,Similar,39%,47%,14%,0%,49%,64%,66%,78%,68%,59%,Sociales y Ciudadanas
105129000216,CALDAS,INSTITUCION EDUCATIVA JOSE MARIA BERNAL,51,Similar,10,Similar,20%,49%,29%,3%,40%,53%,57%,65%,54%,54%,Sociales y Ciudadanas
105129000071,CALDAS,INSTITUCION EDUCATIVA FEDERICO ANGEL,47,Similar,10,Similar,32%,51%,16%,1%,43%,59%,61%,71%,66%,59%,Sociales y Ciudadanas
20512900013,CALDAS,INSTITUCIÓN EDUCATIVA SALINAS,43,Similar,9,Similar,36%,57%,7%,0%,63%,66%,65%,80%,61%,64%,Sociales y Ciudadanas
105129000534,CALDAS,INSTITUCIÓN EDUCATIVA PEDRO LUIS ALVAREZ CORREA,53,Similar,10,Similar,13%,46%,38%,3%,34%,52%,51%,71%,56%,44%,Sociales y Ciudadanas
105129000089,CALDAS,INSTITUCION EDUCATIVA GABRIEL ECHAVARRIA,50,Similar,10,Similar,21%,56%,21%,3%,39%,53%,59%,64%,57%,58%,Sociales y Ciudadanas
105129000208,CALDAS,INSTITUCION EDUCATIVA MARIA AUXILIADORA,55,Similar,10,Similar,12%,29%,58%,2%,28%,43%,45%,72%,55%,45%,Sociales y Ciudadanas
305129000002,CALDAS,COLEGIO TERCER MILENIO,60,Menor,9,Similar,2%,30%,61%,8%,20%,33%,42%,55%,38%,40%,Sociales y Ciudadanas
205129000121,CALDAS,I. E. R. DARIO GUTIERREZ RAVE,49,Similar,11,Similar,17%,52%,30%,0%,36%,61%,67%,50%,63%,48%,Sociales y Ciudadanas
105134000046,CAMPAMENTO,I. E.  NUESTRA SEÑORA DEL ROSARIO,44,Similar,11,Similar,46%,37%,15%,2%,49%,64%,65%,80%,53%,67%,Sociales y Ciudadanas
205138000622,CAÑASGORDAS,I. E. R. JUNTAS DE URAMITA,36,Mayor,8,Mayor,71%,25%,4%,0%,70%,72%,73%,64%,65%,70%,Sociales y Ciudadanas
105138000121,CAÑASGORDAS,I. E. NICOLAS GAVIRIA,54,Similar,10,Similar,9%,52%,33%,6%,33%,45%,54%,53%,49%,41%,Sociales y Ciudadanas
305138000015,CAÑASGORDAS,INSTITUCION EDUCATIVA SAN PIO X,42,Similar,9,Similar,47%,41%,12%,0%,67%,61%,67%,75%,59%,71%,Sociales y Ciudadanas
205138000088,CAÑASGORDAS,INSTITUCION EDUCATIVA RURAL SAN PASCUAL,39,Mayor,7,Mayor,73%,27%,0%,0%,44%,75%,74%,60%,86%,85%,Sociales y Ciudadanas
205138000649,CAÑASGORDAS,I. E. R. BERNARDO SIERRA,43,Similar,10,Similar,32%,64%,4%,0%,53%,68%,61%,72%,63%,82%,Sociales y Ciudadanas
205138000142,CAÑASGORDAS,I. E. R. BUENOS AIRES,45,Similar,11,Similar,31%,48%,21%,0%,43%,68%,68%,77%,72%,70%,Sociales y Ciudadanas
105142000136,CARACOLÍ,I. E. GABRIEL CORREA VELEZ,43,Similar,10,Similar,44%,47%,8%,0%,43%,68%,66%,70%,64%,69%,Sociales y Ciudadanas
20514500014,CARAMANTA,I. E. R. ALEGRIAS,45,Similar,7,Mayor,36%,50%,14%,0%,34%,62%,64%,89%,72%,94%,Sociales y Ciudadanas
105145000145,CARAMANTA,I. E. JUAN PABLO GOMEZ OCHOA,43,Similar,9,Similar,47%,42%,11%,0%,54%,63%,69%,70%,63%,62%,Sociales y Ciudadanas
105147000401,CAREPA,INSTITUCION EDUCATIVA COLOMBIA,46,Similar,11,Similar,32%,51%,14%,3%,45%,63%,61%,39%,67%,50%,Sociales y Ciudadanas
205147000112,CAREPA,INSTITUCION EDUCATIVA RURAL VILLA NELLY,44,Similar,9,Similar,37%,54%,9%,0%,51%,64%,66%,40%,64%,67%,Sociales y Ciudadanas
105147000568,CAREPA,INSTITUCION EDUCATIVA JOSE MARIA MUÑOZ FLOREZ,49,Similar,11,Similar,22%,51%,24%,3%,36%,58%,57%,64%,63%,46%,Sociales y Ciudadanas
205045000363,CAREPA,INSTITUCION EDUCATIVA RURAL ZUNGO EMBARCADERO,43,Similar,9,Similar,38%,54%,8%,0%,48%,70%,71%,67%,66%,44%,Sociales y Ciudadanas
105147000045,CAREPA,I. E. LUIS CARLOS GALAN SARMIENTO,51,Similar,10,Similar,16%,51%,31%,2%,32%,50%,55%,62%,50%,61%,Sociales y Ciudadanas
205147000147,CAREPA,INSTITUCION EDUCATIVA RURAL LA CADENA,46,Similar,8,Mayor,19%,67%,14%,0%,27%,64%,62%,50%,65%,65%,Sociales y Ciudadanas
20514700035,CAREPA,I. E. R. PIEDRAS BLANCAS,41,Mayor,8,Mayor,55%,45%,0%,0%,50%,66%,75%,79%,62%,64%,Sociales y Ciudadanas
205147000996,CAREPA,I.E.R. LA PROVINCIA,46,Similar,9,Similar,38%,42%,21%,0%,39%,60%,62%,52%,67%,60%,Sociales y Ciudadanas
205147000457,CAREPA,I.E.R. EL CERRO,42,Similar,9,Similar,46%,49%,6%,0%,54%,61%,65%,67%,66%,69%,Sociales y Ciudadanas
305148000994,EL CARMEN DE VIBORAL,COLEGIO ANGLO ESPAÑOL,64,Menor,8,Mayor,0%,18%,64%,18%,16%,13%,29%,50%,38%,29%,Sociales y Ciudadanas
105148000863,EL CARMEN DE VIBORAL,INSTITUCIÓN EDUCATIVA RURAL CAMPESTRE NUEVO HORIZONTE,49,Similar,10,Similar,17%,63%,17%,2%,37%,54%,59%,63%,58%,49%,Sociales y Ciudadanas
105148000308,EL CARMEN DE VIBORAL,I. E. FRAY JULIO TOBON B.,51,Similar,11,Similar,17%,51%,29%,2%,36%,53%,58%,68%,53%,51%,Sociales y Ciudadanas
205148000469,EL CARMEN DE VIBORAL,INSTITUCION EDUCATIVA RURAL LA AURORA,47,Similar,12,Similar,28%,41%,28%,2%,48%,54%,61%,65%,51%,41%,Sociales y Ciudadanas
105148000243,EL CARMEN DE VIBORAL,I. E. TECNICO INDUSTRIAL JORGE ELIECER GAITAN,56,Similar,10,Similar,6%,39%,49%,6%,25%,45%,49%,53%,45%,42%,Sociales y Ciudadanas
205148000582,EL CARMEN DE VIBORAL,I. E. SANTA MARIA,55,Similar,10,Similar,8%,39%,49%,3%,34%,40%,53%,67%,44%,48%,Sociales y Ciudadanas
305148000838,EL CARMEN DE VIBORAL,COLEGIO MONSEÑOR RAMON ARCILA RAMIREZ,61,Menor,10,Similar,0%,22%,56%,22%,35%,31%,44%,60%,45%,56%,Sociales y Ciudadanas
105148001002,EL CARMEN DE VIBORAL,I.E. EL PROGRESO,48,Similar,10,Similar,23%,53%,23%,2%,39%,56%,61%,59%,57%,48%,Sociales y Ciudadanas
105150000099,CAROLINA,I. E. PBRO JULIO TAMAYO,48,Similar,10,Similar,24%,46%,30%,0%,46%,58%,58%,55%,58%,59%,Sociales y Ciudadanas
105154000751,CAUCASIA,I. E. LA MISERICORDIA,58,Menor,11,Similar,10%,30%,48%,13%,28%,42%,42%,40%,48%,40%,Sociales y Ciudadanas
105154000301,CAUCASIA,INSTITUCION EDUCATIVA LICEO CAUCASIA,51,Similar,12,Similar,22%,46%,28%,4%,38%,52%,55%,54%,54%,57%,Sociales y Ciudadanas
205154000225,CAUCASIA,INSTITUCIÓN EDUCATIVA RURAL CACERI,48,Similar,8,Mayor,18%,59%,24%,0%,33%,61%,55%,60%,62%,47%,Sociales y Ciudadanas
305154001463,CAUCASIA,COLEGIO LA INMACULADA,61,Menor,9,Similar,0%,20%,65%,15%,15%,32%,41%,33%,37%,27%,Sociales y Ciudadanas
205154000977,CAUCASIA,INSTITUCIÓN EDUCATIVA RURAL CUTURU,42,Similar,8,Mayor,50%,50%,0%,0%,64%,68%,63%,60%,61%,77%,Sociales y Ciudadanas
105154000298,CAUCASIA,INSTITUCION EDUCATIVA SANTA TERESITA,55,Similar,10,Similar,8%,44%,41%,6%,28%,44%,50%,33%,43%,48%,Sociales y Ciudadanas
305154002036,CAUCASIA,COLEGIO MILITAR CENTRO EDUCATIVO EL TESORO DEL SABER,49,Similar,12,Similar,26%,46%,25%,4%,37%,58%,55%,58%,55%,58%,Sociales y Ciudadanas
105154002274,CAUCASIA,I. E. ESCUELA NORMAL SUPERIOR DEL BAJO CAUCA,50,Similar,12,Similar,25%,46%,25%,4%,38%,53%,60%,44%,60%,39%,Sociales y Ciudadanas
10515400028,CAUCASIA,INSTITUCION EDUCATIVA SANTO DOMINGO,48,Similar,11,Similar,29%,45%,20%,6%,41%,62%,61%,48%,51%,51%,Sociales y Ciudadanas
10515400188,CAUCASIA,INSTITUCION EDUCATIVA DIVINO NIÑO,50,Similar,12,Similar,25%,43%,28%,4%,39%,53%,58%,59%,53%,51%,Sociales y Ciudadanas
305154001722,CAUCASIA,COLEGIO LOS SAUCES,60,Menor,7,Mayor,0%,22%,72%,6%,32%,28%,36%,67%,44%,38%,Sociales y Ciudadanas
105154000409,CAUCASIA,I. E. MARCO FIDEL SUAREZ,44,Similar,10,Similar,43%,42%,14%,1%,46%,61%,65%,61%,66%,58%,Sociales y Ciudadanas
205154002015,CAUCASIA,I. E. LICEO CONCEJO MUNICIPAL,49,Similar,11,Similar,23%,47%,27%,3%,38%,52%,58%,53%,49%,52%,Sociales y Ciudadanas
205154000896,CAUCASIA,INSTITUCION EDUCATIVA RURAL MARGENTO,46,Similar,7,Mayor,25%,63%,13%,0%,52%,68%,69%,50%,79%,78%,Sociales y Ciudadanas
205154001922,CAUCASIA,I. E. R. VILLA FATIMA ARRIBA,35,Mayor,6,Mayor,86%,14%,0%,0%,70%,70%,74%,67%,67%,76%,Sociales y Ciudadanas
205154800035,CAUCASIA,I. E. R INDIGENA TRANQUILINO ROSARIO,37,Mayor,6,Mayor,74%,26%,0%,0%,63%,80%,73%,43%,69%,72%,Sociales y Ciudadanas
