pai_et_municipios,promedio,comparacion_plc,desviacion,comparacion_dlc,desempeno_1,desempeno_2,desempeno_3,desempeno_4,aprendizaje_1,aprendizaje_2,aprendizaje_3,Competencia
GC 3 DE TOLIMA,58,Menor,10,Similar,1%,22%,56%,22%,N.D.,N.D.,N.D.,Lectura Crítica
GC 4 DE TOLIMA,65,Menor,8,Mayor,0%,4%,43%,53%,N.D.,N.D.,N.D.,Lectura Crítica
VALLE,53,,10,,3%,36%,50%,11%,38%,48%,51%,Lectura Crítica
OFICIALES URBANOS DE VALLE,53,Similar,10,Similar,3%,36%,50%,11%,N.D.,N.D.,N.D.,Lectura Crítica
OFICIALES RURALES DE VALLE,50,Similar,9,Similar,5%,46%,44%,6%,N.D.,N.D.,N.D.,Lectura Crítica
PRIVADOS DE VALLE,55,Similar,10,Similar,2%,30%,52%,15%,N.D.,N.D.,N.D.,Lectura Crítica
GC 1 DE VALLE,46,Mayor,9,Similar,11%,55%,33%,1%,N.D.,N.D.,N.D.,Lectura Crítica
GC 2 DE VALLE,52,Similar,10,Similar,3%,41%,47%,8%,N.D.,N.D.,N.D.,Lectura Crítica
GC 3 DE VALLE,57,Menor,9,Similar,1%,23%,57%,19%,N.D.,N.D.,N.D.,Lectura Crítica
VAUPES,45,,8,,11%,62%,26%,1%,51%,61%,62%,Lectura Crítica
OFICIALES URBANOS DE VAUPES,48,Similar,8,Similar,4%,57%,37%,2%,N.D.,N.D.,N.D.,Lectura Crítica
OFICIALES RURALES DE VAUPES,40,Mayor,6,Mayor,23%,72%,5%,0%,N.D.,N.D.,N.D.,Lectura Crítica
PRIVADOS DE VAUPES,32,Mayor,0,Mayor,100%,0%,0%,0%,N.D.,N.D.,N.D.,Lectura Crítica
GC 1 DE VAUPES,44,Similar,8,Similar,13%,64%,22%,1%,N.D.,N.D.,N.D.,Lectura Crítica
GC 2 DE VAUPES,50,Menor,8,Similar,3%,55%,40%,3%,N.D.,N.D.,N.D.,Lectura Crítica
VICHADA,47,,10,,12%,51%,33%,3%,49%,59%,60%,Lectura Crítica
OFICIALES URBANOS DE VICHADA,50,Similar,9,Similar,5%,48%,42%,5%,N.D.,N.D.,N.D.,Lectura Crítica
OFICIALES RURALES DE VICHADA,42,Mayor,9,Similar,23%,56%,20%,1%,N.D.,N.D.,N.D.,Lectura Crítica
GC 1 DE VICHADA,40,Mayor,7,Mayor,29%,61%,10%,0%,N.D.,N.D.,N.D.,Lectura Crítica
GC 2 DE VICHADA,49,Similar,10,Similar,7%,48%,41%,4%,N.D.,N.D.,N.D.,Lectura Crítica
