pai_et_municipios,promedio,comparacion_pmat,desviacion,comparacion_dmat,desempeno_1,desempeno_2,desempeno_3,desempeno_4,aprendizaje_1,aprendizaje_2,aprendizaje_3,Competencia
FLORENCIA,54,,11,,5%,34%,54%,8%,57%,35%,55%,Matemáticas
OFICIALES URBANOS DE FLORENCIA,54,Similar,10,Similar,4%,35%,56%,6%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE FLORENCIA,48,Mayor,10,Similar,12%,50%,36%,2%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE FLORENCIA,57,Similar,14,Menor,6%,24%,52%,18%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE FLORENCIA,46,Mayor,10,Similar,17%,47%,34%,1%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE FLORENCIA,53,Similar,11,Similar,5%,39%,50%,5%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE FLORENCIA,59,Menor,11,Similar,2%,19%,66%,14%,N.D.,N.D.,N.D.,Matemáticas
GC 4 DE FLORENCIA,71,Menor,4,Mayor,0%,0%,50%,50%,N.D.,N.D.,N.D.,Matemáticas
FLORIDABLANCA,59,,11,,2%,20%,61%,16%,50%,28%,46%,Matemáticas
OFICIALES URBANOS DE FLORIDABLANCA,57,Similar,11,Similar,2%,24%,63%,11%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE FLORIDABLANCA,56,Similar,10,Similar,2%,26%,62%,10%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE FLORIDABLANCA,64,Menor,12,Similar,1%,12%,58%,29%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE FLORIDABLANCA,56,Similar,11,Similar,3%,30%,58%,9%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE FLORIDABLANCA,60,Similar,11,Similar,2%,17%,64%,18%,N.D.,N.D.,N.D.,Matemáticas
GC 4 DE FLORIDABLANCA,69,Menor,9,Mayor,1%,1%,51%,46%,N.D.,N.D.,N.D.,Matemáticas
FUNZA,56,,11,,3%,26%,62%,8%,58%,32%,51%,Matemáticas
OFICIALES URBANOS DE FUNZA,54,Similar,10,Similar,5%,31%,59%,5%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE FUNZA,54,Similar,12,Similar,6%,33%,54%,7%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE FUNZA,58,Similar,11,Similar,2%,21%,66%,10%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE FUNZA,56,Similar,11,Similar,3%,26%,62%,8%,N.D.,N.D.,N.D.,Matemáticas
FUSAGASUGA,55,,11,,5%,29%,57%,8%,58%,34%,54%,Matemáticas
OFICIALES URBANOS DE FUSAGASUGA,53,Similar,11,Similar,6%,35%,55%,4%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE FUSAGASUGA,56,Similar,11,Similar,4%,27%,59%,10%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE FUSAGASUGA,58,Similar,12,Similar,5%,21%,60%,14%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE FUSAGASUGA,52,Similar,11,Similar,6%,36%,53%,5%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE FUSAGASUGA,58,Similar,11,Similar,4%,21%,62%,13%,N.D.,N.D.,N.D.,Matemáticas
GIRARDOT,52,,11,,7%,38%,51%,5%,61%,39%,58%,Matemáticas
OFICIALES URBANOS DE GIRARDOT,49,Similar,10,Similar,9%,45%,44%,2%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE GIRARDOT,45,Mayor,11,Similar,18%,50%,32%,0%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE GIRARDOT,56,Menor,11,Similar,3%,29%,60%,9%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE GIRARDOT,48,Mayor,11,Similar,12%,44%,42%,2%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE GIRARDOT,54,Similar,11,Similar,4%,34%,56%,7%,N.D.,N.D.,N.D.,Matemáticas
GIRON,56,,11,,4%,27%,60%,9%,55%,32%,51%,Matemáticas
OFICIALES URBANOS DE GIRON,55,Similar,11,Similar,5%,28%,60%,7%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE GIRON,55,Similar,11,Similar,2%,36%,55%,7%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE GIRON,61,Menor,11,Similar,1%,15%,65%,19%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE GIRON,54,Similar,11,Similar,6%,29%,59%,6%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE GIRON,59,Similar,11,Similar,1%,23%,64%,12%,N.D.,N.D.,N.D.,Matemáticas
GUAINIA,42,,11,,32%,44%,23%,1%,73%,50%,67%,Matemáticas
OFICIALES URBANOS DE GUAINIA,45,Similar,12,Similar,27%,40%,31%,1%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE GUAINIA,39,Similar,9,Mayor,40%,50%,11%,0%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE GUAINIA,38,Mayor,10,Similar,46%,42%,12%,0%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE GUAINIA,49,Menor,11,Similar,12%,47%,40%,1%,N.D.,N.D.,N.D.,Matemáticas
GUAVIARE,50,,11,,10%,40%,47%,3%,65%,40%,62%,Matemáticas
OFICIALES URBANOS DE GUAVIARE,52,Similar,11,Similar,6%,36%,54%,3%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE GUAVIARE,46,Mayor,10,Similar,15%,49%,36%,0%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE GUAVIARE,49,Similar,12,Similar,15%,37%,43%,4%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE GUAVIARE,46,Mayor,10,Similar,16%,49%,34%,1%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE GUAVIARE,50,Similar,11,Similar,10%,41%,48%,2%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE GUAVIARE,55,Menor,11,Similar,4%,28%,60%,8%,N.D.,N.D.,N.D.,Matemáticas
HUILA,52,,11,,5%,38%,52%,5%,60%,37%,58%,Matemáticas
OFICIALES URBANOS DE HUILA,53,Similar,11,Similar,5%,37%,53%,5%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE HUILA,51,Similar,10,Similar,6%,43%,48%,3%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE HUILA,61,Menor,11,Similar,2%,16%,61%,20%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE HUILA,49,Similar,10,Similar,8%,48%,42%,2%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE HUILA,52,Similar,11,Similar,6%,40%,51%,4%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE HUILA,56,Menor,11,Similar,3%,26%,62%,9%,N.D.,N.D.,N.D.,Matemáticas
GC 4 DE HUILA,68,Menor,9,Mayor,0%,3%,56%,42%,N.D.,N.D.,N.D.,Matemáticas
IBAGUE,54,,11,,5%,31%,56%,8%,58%,35%,54%,Matemáticas
OFICIALES URBANOS DE IBAGUE,53,Similar,11,Similar,5%,34%,55%,5%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE IBAGUE,50,Mayor,10,Similar,7%,47%,43%,2%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE IBAGUE,61,Menor,11,Similar,1%,18%,62%,20%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE IBAGUE,50,Mayor,11,Similar,10%,60%,20%,10%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE IBAGUE,51,Similar,10,Similar,6%,39%,52%,2%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE IBAGUE,56,Similar,11,Similar,3%,26%,60%,10%,N.D.,N.D.,N.D.,Matemáticas
GC 4 DE IBAGUE,65,Menor,11,Similar,0%,9%,58%,32%,N.D.,N.D.,N.D.,Matemáticas
IPIALES,58,,11,,3%,19%,64%,13%,53%,31%,46%,Matemáticas
OFICIALES URBANOS DE IPIALES,61,Similar,10,Similar,1%,14%,68%,16%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE IPIALES,53,Mayor,10,Similar,6%,29%,59%,5%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE IPIALES,55,Similar,13,Menor,7%,25%,55%,12%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE IPIALES,50,Mayor,12,Similar,13%,36%,47%,4%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE IPIALES,57,Similar,11,Similar,3%,22%,65%,10%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE IPIALES,62,Menor,11,Similar,2%,10%,63%,25%,N.D.,N.D.,N.D.,Matemáticas
ITAGUI,54,,11,,6%,30%,57%,7%,59%,35%,54%,Matemáticas
OFICIALES URBANOS DE ITAGUI,54,Similar,11,Similar,5%,32%,57%,6%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE ITAGUI,49,Mayor,12,Similar,12%,42%,43%,3%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE ITAGUI,58,Menor,12,Similar,6%,19%,62%,14%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE ITAGUI,51,Similar,11,Similar,10%,38%,51%,2%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE ITAGUI,55,Similar,11,Similar,5%,28%,60%,8%,N.D.,N.D.,N.D.,Matemáticas
GC 4 DE ITAGUI,69,Menor,7,Mayor,0%,0%,59%,41%,N.D.,N.D.,N.D.,Matemáticas
JAMUNDI,52,,11,,9%,36%,50%,5%,61%,39%,57%,Matemáticas
OFICIALES URBANOS DE JAMUNDI,53,Similar,11,Similar,6%,31%,56%,6%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE JAMUNDI,48,Mayor,11,Similar,13%,44%,42%,1%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE JAMUNDI,57,Menor,12,Similar,3%,26%,59%,12%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE JAMUNDI,46,Mayor,6,Mayor,17%,67%,17%,0%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE JAMUNDI,50,Similar,11,Similar,11%,40%,47%,3%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE JAMUNDI,56,Menor,11,Similar,4%,27%,59%,10%,N.D.,N.D.,N.D.,Matemáticas
LA ESTRELLA,55,,12,,6%,28%,56%,10%,58%,36%,53%,Matemáticas
OFICIALES URBANOS DE LA ESTRELLA,49,Mayor,10,Mayor,10%,42%,47%,1%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE LA ESTRELLA,60,Menor,11,Similar,2%,15%,65%,18%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE LA ESTRELLA,48,Mayor,10,Mayor,11%,47%,42%,1%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE LA ESTRELLA,56,Similar,11,Similar,5%,25%,60%,9%,N.D.,N.D.,N.D.,Matemáticas
GC 4 DE LA ESTRELLA,65,Menor,11,Similar,1%,6%,58%,34%,N.D.,N.D.,N.D.,Matemáticas
LA GUAJIRA,46,,12,,21%,44%,33%,2%,68%,47%,64%,Matemáticas
OFICIALES URBANOS DE LA GUAJIRA,48,Similar,11,Similar,14%,46%,39%,2%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE LA GUAJIRA,40,Mayor,10,Mayor,38%,47%,15%,0%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE LA GUAJIRA,55,Menor,11,Similar,5%,23%,64%,7%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE LA GUAJIRA,37,Mayor,10,Mayor,49%,41%,11%,0%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE LA GUAJIRA,46,Similar,11,Similar,16%,48%,34%,1%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE LA GUAJIRA,56,Menor,10,Mayor,3%,23%,67%,7%,N.D.,N.D.,N.D.,Matemáticas
LORICA,49,,11,,13%,45%,39%,3%,63%,44%,62%,Matemáticas
OFICIALES URBANOS DE LORICA,49,Similar,10,Similar,11%,47%,40%,1%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE LORICA,46,Similar,11,Similar,17%,48%,34%,1%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE LORICA,60,Menor,12,Similar,4%,16%,66%,14%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE LORICA,46,Similar,10,Similar,18%,50%,32%,0%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE LORICA,48,Similar,11,Similar,13%,47%,39%,2%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE LORICA,60,Menor,12,Similar,4%,16%,66%,14%,N.D.,N.D.,N.D.,Matemáticas
MAGANGUE,49,,12,,13%,43%,41%,3%,64%,42%,62%,Matemáticas
OFICIALES URBANOS DE MAGANGUE,49,Similar,11,Similar,11%,43%,43%,2%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE MAGANGUE,45,Mayor,10,Mayor,18%,51%,29%,1%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE MAGANGUE,56,Menor,13,Similar,6%,26%,55%,13%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE MAGANGUE,48,Similar,11,Similar,14%,46%,39%,1%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE MAGANGUE,59,Menor,13,Similar,3%,24%,56%,16%,N.D.,N.D.,N.D.,Matemáticas
MAGDALENA,45,,11,,21%,48%,30%,2%,68%,50%,67%,Matemáticas
OFICIALES URBANOS DE MAGDALENA,47,Similar,11,Similar,17%,48%,33%,2%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE MAGDALENA,43,Similar,10,Similar,26%,50%,23%,1%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE MAGDALENA,51,Menor,13,Menor,12%,31%,51%,5%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE MAGDALENA,43,Similar,10,Similar,26%,51%,23%,1%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE MAGDALENA,45,Similar,11,Similar,21%,48%,29%,2%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE MAGDALENA,55,Menor,11,Similar,4%,27%,63%,6%,N.D.,N.D.,N.D.,Matemáticas
MAICAO,48,,13,,19%,39%,38%,4%,66%,43%,60%,Matemáticas
OFICIALES URBANOS DE MAICAO,50,Similar,12,Similar,12%,40%,44%,3%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE MAICAO,38,Mayor,9,Mayor,47%,42%,11%,0%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE MAICAO,61,Menor,12,Similar,3%,17%,54%,26%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE MAICAO,41,Mayor,12,Similar,39%,38%,22%,1%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE MAICAO,49,Similar,11,Mayor,12%,42%,43%,3%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE MAICAO,61,Menor,12,Similar,3%,17%,54%,26%,N.D.,N.D.,N.D.,Matemáticas
MALAMBO,49,,12,,13%,42%,40%,4%,63%,44%,62%,Matemáticas
OFICIALES URBANOS DE MALAMBO,47,Similar,11,Similar,15%,47%,37%,2%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE MALAMBO,45,Mayor,9,Mayor,12%,61%,26%,1%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE MALAMBO,51,Similar,13,Similar,12%,36%,45%,6%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE MALAMBO,48,Similar,12,Similar,14%,44%,39%,3%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE MALAMBO,59,Menor,11,Similar,4%,21%,63%,13%,N.D.,N.D.,N.D.,Matemáticas
MANIZALES,57,,12,,5%,26%,56%,13%,54%,34%,48%,Matemáticas
OFICIALES URBANOS DE MANIZALES,55,Similar,12,Similar,5%,28%,57%,9%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE MANIZALES,49,Mayor,11,Similar,12%,42%,44%,2%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE MANIZALES,64,Menor,11,Similar,1%,11%,58%,31%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE MANIZALES,46,Mayor,11,Similar,17%,33%,50%,0%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE MANIZALES,50,Mayor,11,Similar,10%,41%,47%,3%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE MANIZALES,59,Similar,12,Similar,3%,19%,60%,18%,N.D.,N.D.,N.D.,Matemáticas
GC 4 DE MANIZALES,64,Menor,10,Mayor,0%,7%,64%,29%,N.D.,N.D.,N.D.,Matemáticas
MEDELLIN,52,,12,,9%,35%,50%,6%,61%,39%,57%,Matemáticas
OFICIALES URBANOS DE MEDELLIN,51,Similar,11,Similar,10%,39%,48%,4%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE MEDELLIN,49,Similar,11,Similar,11%,43%,43%,3%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE MEDELLIN,58,Menor,12,Similar,5%,20%,59%,16%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE MEDELLIN,48,Mayor,11,Similar,13%,45%,40%,2%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE MEDELLIN,54,Similar,12,Similar,6%,30%,56%,7%,N.D.,N.D.,N.D.,Matemáticas
GC 4 DE MEDELLIN,67,Menor,11,Similar,1%,7%,54%,38%,N.D.,N.D.,N.D.,Matemáticas
META,52,,11,,8%,35%,53%,5%,61%,37%,58%,Matemáticas
OFICIALES URBANOS DE META,52,Similar,11,Similar,7%,36%,53%,4%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE META,52,Similar,12,Similar,10%,36%,49%,6%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE META,55,Similar,12,Similar,7%,27%,57%,9%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE META,45,Mayor,12,Similar,21%,45%,32%,2%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE META,52,Similar,11,Similar,8%,37%,52%,4%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE META,58,Menor,10,Similar,2%,20%,67%,11%,N.D.,N.D.,N.D.,Matemáticas
MONTERIA,54,,12,,7%,31%,52%,10%,56%,35%,51%,Matemáticas
OFICIALES URBANOS DE MONTERIA,54,Similar,12,Similar,6%,31%,53%,10%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE MONTERIA,49,Mayor,11,Similar,13%,44%,41%,2%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE MONTERIA,58,Menor,13,Similar,5%,20%,57%,18%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE MONTERIA,48,Mayor,11,Similar,15%,44%,39%,3%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE MONTERIA,53,Similar,12,Similar,8%,34%,51%,7%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE MONTERIA,61,Menor,12,Similar,3%,15%,59%,23%,N.D.,N.D.,N.D.,Matemáticas
GC 4 DE MONTERIA,62,Menor,10,Mayor,0%,10%,73%,16%,N.D.,N.D.,N.D.,Matemáticas
MOSQUERA,57,,11,,3%,22%,64%,11%,54%,30%,48%,Matemáticas
OFICIALES URBANOS DE MOSQUERA,55,Similar,10,Similar,3%,28%,64%,6%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE MOSQUERA,61,Menor,11,Similar,3%,13%,64%,20%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE MOSQUERA,50,Mayor,10,Similar,6%,47%,43%,3%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE MOSQUERA,57,Similar,10,Similar,3%,21%,66%,10%,N.D.,N.D.,N.D.,Matemáticas
GC 4 DE MOSQUERA,69,Menor,11,Similar,1%,4%,45%,50%,N.D.,N.D.,N.D.,Matemáticas
NARIÑO,51,,12,,11%,37%,47%,5%,62%,41%,58%,Matemáticas
OFICIALES URBANOS DE NARIÑO,52,Similar,12,Similar,9%,35%,50%,5%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE NARIÑO,49,Similar,12,Similar,14%,41%,42%,3%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE NARIÑO,47,Mayor,13,Similar,15%,50%,30%,5%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE NARIÑO,45,Mayor,12,Similar,23%,44%,31%,2%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE NARIÑO,53,Similar,11,Similar,7%,36%,52%,5%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE NARIÑO,35,Mayor,0,Mayor,100%,0%,0%,0%,N.D.,N.D.,N.D.,Matemáticas
NEIVA,56,,13,,5%,28%,54%,13%,54%,32%,51%,Matemáticas
OFICIALES URBANOS DE NEIVA,55,Similar,12,Similar,5%,30%,56%,8%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE NEIVA,50,Mayor,11,Mayor,12%,41%,42%,4%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE NEIVA,62,Menor,14,Similar,3%,16%,52%,29%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE NEIVA,51,Mayor,12,Similar,8%,40%,47%,5%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE NEIVA,60,Menor,12,Similar,3%,19%,60%,18%,N.D.,N.D.,N.D.,Matemáticas
GC 4 DE NEIVA,69,Menor,11,Mayor,0%,0%,33%,67%,N.D.,N.D.,N.D.,Matemáticas
NORTE DE SANTANDER,54,,12,,7%,33%,53%,8%,58%,35%,55%,Matemáticas
OFICIALES URBANOS DE NORTE DE SANTANDER,55,Similar,11,Similar,5%,29%,57%,8%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE NORTE DE SANTANDER,48,Mayor,11,Similar,13%,47%,39%,2%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE NORTE DE SANTANDER,60,Menor,12,Similar,3%,19%,58%,19%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE NORTE DE SANTANDER,47,Mayor,10,Mayor,13%,49%,36%,2%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE NORTE DE SANTANDER,53,Similar,11,Similar,7%,34%,53%,7%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE NORTE DE SANTANDER,61,Menor,12,Similar,2%,14%,63%,21%,N.D.,N.D.,N.D.,Matemáticas
PALMIRA,56,,12,,5%,26%,60%,9%,54%,33%,50%,Matemáticas
OFICIALES URBANOS DE PALMIRA,56,Similar,12,Similar,4%,25%,60%,10%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE PALMIRA,53,Similar,12,Similar,7%,29%,58%,5%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE PALMIRA,55,Similar,10,Mayor,1%,33%,61%,5%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE PALMIRA,55,Similar,12,Similar,6%,28%,58%,8%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE PALMIRA,59,Similar,10,Mayor,1%,20%,67%,12%,N.D.,N.D.,N.D.,Matemáticas
PASTO,57,,11,,2%,24%,62%,12%,54%,31%,48%,Matemáticas
OFICIALES URBANOS DE PASTO,58,Similar,11,Similar,2%,23%,62%,13%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE PASTO,53,Mayor,10,Similar,3%,40%,54%,3%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE PASTO,60,Similar,11,Similar,2%,15%,68%,16%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE PASTO,52,Mayor,9,Mayor,2%,48%,50%,0%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE PASTO,55,Similar,11,Similar,3%,29%,61%,7%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE PASTO,62,Menor,11,Similar,1%,13%,65%,21%,N.D.,N.D.,N.D.,Matemáticas
PEREIRA,54,,11,,5%,33%,55%,6%,60%,37%,55%,Matemáticas
OFICIALES URBANOS DE PEREIRA,53,Similar,11,Similar,6%,35%,55%,4%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE PEREIRA,51,Similar,10,Similar,6%,43%,48%,4%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE PEREIRA,61,Menor,11,Similar,1%,16%,63%,19%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE PEREIRA,45,Mayor,10,Similar,17%,50%,33%,0%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE PEREIRA,50,Mayor,10,Similar,8%,43%,46%,2%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE PEREIRA,56,Similar,11,Similar,3%,27%,62%,8%,N.D.,N.D.,N.D.,Matemáticas
GC 4 DE PEREIRA,67,Menor,10,Similar,0%,6%,57%,37%,N.D.,N.D.,N.D.,Matemáticas
PIEDECUESTA,57,,11,,4%,24%,63%,10%,55%,30%,50%,Matemáticas
OFICIALES URBANOS DE PIEDECUESTA,57,Similar,11,Similar,3%,24%,63%,10%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE PIEDECUESTA,53,Mayor,10,Similar,6%,31%,59%,3%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE PIEDECUESTA,61,Menor,11,Similar,2%,15%,66%,17%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE PIEDECUESTA,54,Similar,11,Similar,6%,32%,57%,5%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE PIEDECUESTA,61,Menor,10,Similar,1%,13%,70%,16%,N.D.,N.D.,N.D.,Matemáticas
GC 4 DE PIEDECUESTA,75,Menor,10,Similar,0%,0%,33%,67%,N.D.,N.D.,N.D.,Matemáticas
PITALITO,59,,12,,2%,21%,62%,15%,51%,29%,45%,Matemáticas
OFICIALES URBANOS DE PITALITO,61,Similar,11,Similar,1%,15%,65%,19%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE PITALITO,55,Mayor,11,Similar,4%,30%,57%,9%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE PITALITO,55,Mayor,11,Similar,3%,32%,55%,9%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE PITALITO,59,Similar,12,Similar,2%,21%,62%,15%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE PITALITO,55,Mayor,12,Similar,3%,29%,58%,10%,N.D.,N.D.,N.D.,Matemáticas
POPAYAN,55,,12,,6%,31%,55%,9%,57%,35%,53%,Matemáticas
OFICIALES URBANOS DE POPAYAN,56,Similar,11,Similar,4%,27%,59%,10%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE POPAYAN,50,Mayor,10,Mayor,7%,45%,45%,3%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE POPAYAN,51,Mayor,13,Similar,12%,36%,45%,7%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE POPAYAN,46,Mayor,10,Mayor,16%,58%,26%,0%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE POPAYAN,52,Similar,11,Similar,7%,36%,53%,5%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE POPAYAN,61,Menor,12,Similar,3%,16%,62%,20%,N.D.,N.D.,N.D.,Matemáticas
GC 4 DE POPAYAN,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Matemáticas
